schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,min_minutes_after_rth_open,max_minutes_after_rth_open,max_risk_to_average_bar_range,max_runner_target_to_average_bar_range,min_signal_abs_delta_sum_to_average_abs_delta,max_signal_abs_delta_sum_to_average_abs_delta,min_entry_volume_to_average_volume,min_entry_trades_to_average_trades,min_continuation_edge_score,min_opening_range_continuation_edge_score,min_directional_opening_range_breakout_points,min_lookback_efficiency_ratio,max_lookback_choppiness_score,min_entry_volume_to_session_average_volume,min_lookback_volume_to_session_average_volume,input_context_rows,evaluated_trades,runner_target_hits,full_stops,runner_stop_exits,other_exits,positive_net_trades,positive_net_rate,net_usd,average_net_usd,average_net_usd_lower_bound,unfiltered_net_usd,participation_rate,filter_net_improvement_usd,long_trades,short_trades,notes
1,scaled_context_filter_walk_forward_window=11:train_dates=8:holdout_dates=2,train,true,2026-05-13;2026-05-14;2026-05-15;2026-05-18;2026-05-20;2026-05-21;2026-05-22;2026-05-26,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,60,390,8,8,0,50,0,0,0,0,-999999,0,1,0,0,24,17,14,3,0,0,14,0.82352941,5131,301.82352941,149.26545186,657,0.70833333,4474,15,2,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=11:train_dates=8:holdout_dates=2,holdout,true,2026-05-27;2026-05-28,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,60,390,8,8,0,50,0,0,0,0,-999999,0,1,0,0,4,2,0,2,0,0,0,0,-2114,-1057,-1057,-4228,0.5,2114,1,1,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=13:train_dates=8:holdout_dates=2,train,true,2026-05-15;2026-05-18;2026-05-20;2026-05-21;2026-05-22;2026-05-26;2026-05-27;2026-05-28,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,60,390,8,8,0,50,0,0,0,0,-999999,0,1,0,0,21,12,7,5,0,0,7,0.58333333,-1134,-94.5,-329.32595505,-7722,0.57142857,6588,9,3,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=13:train_dates=8:holdout_dates=2,holdout,true,2026-05-29;2026-06-01,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,60,390,8,8,0,50,0,0,0,0,-999999,0,1,0,0,8,7,2,4,1,0,2,0.28571429,-3349,-478.42857143,-751.89034409,-2756,0.875,-593,4,3,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=15:train_dates=8:holdout_dates=2,train,true,2026-05-20;2026-05-21;2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-01,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=12:max_runner_avg_range=12:signal_delta_avg=10-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,0,390,12,12,10,50,0,0,0,0,-999999,0,1,0,0,24,12,7,4,0,1,7,0.58333333,-609,-50.75,-274.08731728,-6843,0.5,6234,10,2,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=15:train_dates=8:holdout_dates=2,holdout,true,2026-06-02;2026-06-03,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=12:max_runner_avg_range=12:signal_delta_avg=10-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,0,390,12,12,10,50,0,0,0,0,-999999,0,1,0,0,7,3,0,3,0,0,0,0,-3171,-1057,-1057,-5749,0.42857143,2578,3,0,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=17:train_dates=8:holdout_dates=2,train,true,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-01;2026-06-02;2026-06-03,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=5-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,0,390,4,4,5,20,0,0,0,0,-999999,0,1,0,0,22,12,5,6,1,0,5,0.41666667,-3684,-307,-534.07377656,-11854,0.54545455,8170,7,5,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=17:train_dates=8:holdout_dates=2,holdout,true,2026-06-04;2026-06-05,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=5-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,0,390,4,4,5,20,0,0,0,0,-999999,0,1,0,0,12,10,8,2,0,0,8,0.8,2630,263,54.28967443,3816,0.83333333,-1186,5,5,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=19:train_dates=8:holdout_dates=2,train,true,2026-05-27;2026-05-28;2026-05-29;2026-06-01;2026-06-02;2026-06-03;2026-06-04;2026-06-05,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-240:max_risk_avg_range=8:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,0,240,8,4,0,20,0.75,0,0,0,-999999,0,1,0,0,31,13,8,4,1,0,8,0.61538462,209,16.07692308,-192.79546404,-8917,0.41935484,9126,6,7,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=19:train_dates=8:holdout_dates=2,holdout,true,2026-06-08;2026-06-09,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-240:max_risk_avg_range=8:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,0,240,8,4,0,20,0.75,0,0,0,-999999,0,1,0,0,12,9,5,3,1,0,5,0.55555556,-513,-57,-309.7625148,-3684,0.75,3171,3,6,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
