schema_version,context_id,outcome_id,event_key,signal_id,symbol,direction,entry_time,entry_bar_index,lookback_bars,lookback_bars_available,minutes_after_rth_open,entry_price,stop_price,first_target_price,runner_target_price,risk_points,first_target_points,runner_target_points,runner_reward_risk,signal_price_move,signal_delta_sum,signal_abs_delta_sum,lookback_range_points,average_bar_range_points,average_volume,average_trades,average_abs_delta,entry_bar_range_points,entry_open_price,entry_close_price,entry_bar_volume,entry_bar_trades,entry_bar_delta,risk_to_average_bar_range,runner_target_to_average_bar_range,signal_abs_delta_sum_to_average_abs_delta,entry_volume_to_average_volume,entry_trades_to_average_trades,entry_abs_delta_to_average_abs_delta,session_open_price,session_high_so_far,session_low_so_far,session_range_points,entry_position_in_session_range,continuation_edge_score,fade_edge_score,directional_open_distance_points,opening_range_high,opening_range_low,opening_range_points,entry_position_in_opening_range,opening_range_continuation_edge_score,opening_range_fade_edge_score,directional_opening_range_breakout_points,lookback_directional_move_points,lookback_efficiency_ratio,lookback_choppiness_score,session_bars_so_far,session_average_volume,session_average_trades,entry_volume_to_session_average_volume,entry_trades_to_session_average_trades,lookback_volume_to_session_average_volume,lookback_trades_to_session_average_trades,exit_reason,first_target_hit,net_usd,notes
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21267:runner_target_hit:21282:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21267:runner_target_hit:21282,ESU26-CME:2:21267:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21267,ESU26-CME,long,2026-06-18  11:51:00,21267,20,20,141,7560,7550,7565,7568,10,5,8,0.8,4.5,649,649,29.5,7.2625,7766.7,6525.85,267.8,9.25,7552.75,7560,8360,6630,392,1.37693632,1.10154905,2.42345034,1.07639023,1.01595961,1.46377894,7577.25,7581.5,7535.5,46,0.5326087,0.5326087,0.4673913,-17.25,7581.5,7535.5,46,0.5326087,0.5326087,0.4673913,-21.5,-1.75,0.02583026,0.97416974,48,11441.95833333,9614.58333333,0.73064416,0.68957746,0.67879115,0.67874496,runner_target_hit,true,593,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21275:runner_target_hit:21283:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21275:runner_target_hit:21283,ESU26-CME:2:21275:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21275,ESU26-CME,long,2026-06-18  12:15:00,21275,20,20,165,7561,7551,7566,7569,10,5,8,0.8,13.75,298,298,22.75,6.8125,7389,6128.6,259.6,4,7560,7561,4484,3951,-20,1.46788991,1.17431193,1.14791988,0.60684802,0.64468231,0.0770416,7577.25,7581.5,7535.5,46,0.55434783,0.55434783,0.44565217,-16.25,7581.5,7535.5,46,0.55434783,0.55434783,0.44565217,-20.5,4.25,0.08056872,0.91943128,56,10646.625,8937.30357143,0.42116633,0.44207965,0.69402275,0.68573255,runner_target_hit,true,593,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21375:runner_target_hit:21385:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21375:runner_target_hit:21385,ESU26-CME:2:21375:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21375,ESU26-CME,long,2026-06-19  10:30:00,21375,20,20,60,7558.5,7548.5,7563.5,7566.5,10,5,8,0.8,3.75,333,333,9.75,3.1125,1041.05,916.75,81.75,2.25,7559.75,7558.5,643,591,-55,3.21285141,2.57028112,4.0733945,0.61764565,0.64466867,0.67278287,7559,7563.25,7553.5,9.75,0.51282051,0.51282051,0.48717949,-0.5,7563.25,7556.25,7,0.32142857,0.32142857,0.67857143,-4.75,0.25,0.00826446,0.99173554,21,1022.0952381,901.23809524,0.62909989,0.65576456,1.01854501,1.01721177,runner_target_hit,true,593,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21380:end_of_session:21424:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21380:end_of_session:21424,ESU26-CME:2:21380:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21380,ESU26-CME,long,2026-06-19  10:45:00,21380,20,20,75,7563.75,7553.75,7568.75,7571.75,10,5,8,0.8,4.25,557,557,10.5,2.775,896.55,802.5,90.75,1.25,7563.25,7563.75,643,553,111,3.6036036,2.88288288,6.13774105,0.71719369,0.68909657,1.2231405,7559,7564.5,7553.5,11,0.93181818,0.93181818,0.06818182,4.75,7563.25,7556.25,7,1.07142857,1.07142857,-0.07142857,0.5,3.5,0.125,0.875,26,962.07692308,848.42307692,0.66834573,0.65179745,0.93189014,0.94587243,end_of_session,false,-807,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21385:full_stop_hit:21424:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21385:full_stop_hit:21424,ESU26-CME:2:21385:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21385,ESU26-CME,long,2026-06-19  11:00:00,21385,20,20,90,7566.5,7556.5,7571.5,7574.5,10,5,8,0.8,8,606,606,12.5,2.375,791.75,706.85,88.05,2.25,7565,7566.5,636,585,24,4.21052632,3.36842105,6.88245315,0.80328386,0.82761548,0.2725724,7559,7566.75,7553.5,13.25,0.98113208,0.98113208,0.01886792,7.5,7563.25,7556.25,7,1.46428571,1.46428571,-0.46428571,3.25,11.75,0.52808989,0.47191011,31,902.77419355,798.12903226,0.7044951,0.73296419,0.87701887,0.88563374,full_stop_hit,false,-1057,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21396:runner_target_hit:21424:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21396:runner_target_hit:21424,ESU26-CME:2:21396:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:short,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21396,ESU26-CME,short,2026-06-19  11:33:00,21396,20,20,123,7562.25,7572.25,7557.25,7554.25,10,5,8,0.8,-3.5,-193,193,10.25,1.975,650.05,568.05,65.65,2.75,7564,7562.25,1565,1347,-299,5.06329114,4.05063291,2.93983244,2.40750711,2.37127013,4.55445545,7559,7568.5,7553.5,15,0.58333333,0.41666667,0.58333333,-3.25,7563.25,7556.25,7,0.85714286,0.14285714,0.85714286,-6,-1.5,0.07894737,0.92105263,42,857.85714286,753.19047619,1.82431307,1.78839224,0.7577602,0.75419169,runner_target_hit,true,593,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21418:full_stop_hit:21424:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21418:full_stop_hit:21424,ESU26-CME:2:21418:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21418,ESU26-CME,long,2026-06-19  12:39:00,21418,20,20,189,7565.25,7555.25,7570.25,7573.25,10,5,8,0.8,5.5,68,68,8.5,1.925,379.4,326.55,39.3,1.75,7565,7565.25,229,188,39,5.19480519,4.15584416,1.7302799,0.60358461,0.57571582,0.99236641,7559,7568.5,7553.5,15,0.78333333,0.78333333,0.21666667,6.25,7563.25,7556.25,7,1.28571429,1.28571429,-0.28571429,2,5.25,0.24137931,0.75862069,64,704.21875,616.140625,0.32518305,0.30512515,0.53875305,0.52999265,full_stop_hit,false,-1057,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21424:no_following_bar:21424:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21424:no_following_bar:21424,ESU26-CME:2:21424:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:short,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21424,ESU26-CME,short,2026-06-19  12:57:00,21424,20,20,207,7556.25,7566.25,7551.25,7548.25,10,5,8,0.8,-8.5,-234,234,9.75,1.95,321.65,265.2,31.55,7.75,7560.75,7556.25,1819,1147,-299,5.12820513,4.1025641,7.41679873,5.6552153,4.32503771,9.4770206,7559,7568.5,7553.5,15,0.18333333,0.81666667,0.18333333,2.75,7563.25,7556.25,7,0,1,0,0,7.5,0.33333333,0.66666667,70,700.17142857,603.31428571,2.5979352,1.90116499,0.4593875,0.43957189,no_following_bar,false,-57,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21445:runner_target_hit:21452:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21445:runner_target_hit:21452,ESU26-CME:2:21445:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:short,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21445,ESU26-CME,short,2026-06-22  10:30:00,21445,20,20,60,7547.75,7557.75,7542.75,7539.75,10,5,8,0.8,-43.5,-1218,1218,39,9.175,12822,10750.15,426.7,15.75,7561.25,7547.75,24073,18745,-1541,1.08991826,0.8719346,2.85446449,1.87747621,1.7436966,3.61143661,7573.25,7599.25,7546.5,52.75,0.02369668,0.97630332,0.02369668,25.5,7596.75,7571.5,25.25,-0.94059406,1.94059406,-0.94059406,23.75,38.5,0.36320755,0.63679245,21,13357.76190476,11130.85714286,1.80217316,1.68405719,0.95989134,0.96579714,runner_target_hit,true,593,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21450:runner_target_hit:21453:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21450:runner_target_hit:21453,ESU26-CME:2:21450:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:short,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_21450,ESU26-CME,short,2026-06-22  10:45:00,21450,20,20,75,7543.75,7553.75,7538.75,7535.75,10,5,8,0.8,-36.75,-2216,2216,59.25,8.5375,12758.75,10625.9,426.65,8.75,7541,7543.75,19058,16005,48,1.17130307,0.93704246,5.19395289,1.49372,1.50622536,0.11250439,7573.25,7599.25,7540,59.25,0.06329114,0.93670886,0.06329114,29.5,7596.75,7571.5,25.25,-1.0990099,2.0990099,-1.0990099,27.75,45,0.48648649,0.51351351,26,13846.92307692,11539.03846154,1.37633465,1.38703065,0.92141409,0.92086529,runner_target_hit,true,593,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
