schema_version,robustness_id,train_date_count,holdout_date_count,window_step_date_count,selection_objective,minimum_train_trades,minimum_train_participation_rate,holdout_windows,positive_holdout_windows,negative_holdout_windows,unfiltered_holdout_trades,guarded_holdout_trades,skipped_holdout_trades,participation_rate,unfiltered_holdout_net_usd,guarded_holdout_net_usd,guard_net_improvement_usd,unfiltered_average_net_usd,guarded_average_net_usd,worst_guarded_window_dates,worst_guarded_window_net_usd,best_guarded_window_dates,best_guarded_window_net_usd,selected_guard_counts,notes
1,scaled_context_guard_robustness:train=20:holdout=5:step=5:objective=lower_bound,20,5,5,lower_bound,25,0.35,32,24,8,1451,850,601,0.58580289,16793,69375,52582,11.57339766,81.61764706,2025-11-10;2025-11-11;2025-11-12;2025-11-13;2025-11-14,-7446,2026-02-26;2026-02-27;2026-03-02;2026-03-03;2026-03-04,10220.5,lookback_fade_push_session_range_30_after_90m=12;none=5;lookback_fade_push_risk_avg_2.5=5;lookback_fade_push_session_range_30_risk_avg_2.5=4;lookback_fade_push_session_range_30=3;lookback_fade_push=3,compact theory guard walk-forward robustness summary
1,scaled_context_guard_robustness:train=40:holdout=5:step=5:objective=lower_bound,40,5,5,lower_bound,25,0.35,28,18,10,1258,672,586,0.53418124,17919,46996,29077,14.24403816,69.93452381,2025-12-09;2025-12-10;2025-12-11;2025-12-12;2025-12-15,-6504,2026-02-26;2026-02-27;2026-03-02;2026-03-03;2026-03-04,10220.5,lookback_fade_push_session_range_30_after_90m=15;lookback_fade_push_session_range_30_risk_avg_2.5=5;lookback_fade_push_risk_avg_2.5=4;none=2;lookback_fade_push_session_range_30=2,compact theory guard walk-forward robustness summary
1,scaled_context_guard_robustness:train=40:holdout=10:step=10:objective=lower_bound,40,10,10,lower_bound,25,0.35,14,10,4,1258,679,579,0.53974563,17919,50272,32353,14.24403816,74.03829161,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28;2026-01-29;2026-01-30;2026-02-02;2026-02-03;2026-02-04,-7158,2026-02-19;2026-02-20;2026-02-23;2026-02-24;2026-02-25;2026-02-26;2026-02-27;2026-03-02;2026-03-03;2026-03-04,14945,lookback_fade_push_session_range_30_after_90m=7;lookback_fade_push_session_range_30_risk_avg_2.5=3;lookback_fade_push_risk_avg_2.5=2;none=1;lookback_fade_push_session_range_30=1,compact theory guard walk-forward robustness summary
1,scaled_context_guard_robustness:train=60:holdout=10:step=10:objective=lower_bound,60,10,10,lower_bound,25,0.35,12,8,4,1070,631,439,0.58971963,25522.5,44320.5,18798,23.85280374,70.2385103,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28;2026-01-29;2026-01-30;2026-02-02;2026-02-03;2026-02-04,-7158,2026-02-19;2026-02-20;2026-02-23;2026-02-24;2026-02-25;2026-02-26;2026-02-27;2026-03-02;2026-03-03;2026-03-04,15130,lookback_fade_push_session_range_30_risk_avg_2.5=5;lookback_fade_push_session_range_30_after_90m=5;none=1;lookback_fade_push_risk_avg_2.5=1,compact theory guard walk-forward robustness summary
1,scaled_context_guard_robustness:train=80:holdout=10:step=10:objective=lower_bound,80,10,10,lower_bound,25,0.35,10,8,2,904,534,370,0.59070796,25059.5,57862,32802.5,27.72068584,108.35580524,2026-03-19;2026-03-20;2026-03-23;2026-03-24;2026-03-25;2026-03-26;2026-03-27;2026-03-30;2026-03-31;2026-04-01,-3495.5,2026-02-19;2026-02-20;2026-02-23;2026-02-24;2026-02-25;2026-02-26;2026-02-27;2026-03-02;2026-03-03;2026-03-04,15130,lookback_fade_push_session_range_30_risk_avg_2.5=6;lookback_fade_push_session_range_30_after_90m=3;none=1,compact theory guard walk-forward robustness summary
