schema_version,guard_id,guard_name,conditions,input_trades,kept_trades,skipped_trades,runner_target_hits,full_stops,runner_stop_exits,other_exits,positive_net_trades,positive_net_rate,net_usd,average_net_usd,average_net_usd_lower_bound,profit_factor,max_trade_sequence_drawdown_usd,unfiltered_net_usd,guard_net_improvement_usd,worst_day,worst_day_net_usd,long_trades,short_trades,notes
1,scaled_context_guard:none,none,none,1639,1639,0,796,489,215,139,891,0.54362416,19352,11.80719951,-7.11052956,1.03357108,-25224,19352,0,2026-04-13,-12012,681,958,fixed entry-known theory guard over all rows
1,scaled_context_guard:lookback_directional_move_points<=-2.5,lookback_fade_push,lookback_directional_move_points <= -2.5,1639,1164,475,586,339,150,89,650,0.55841924,37777,32.45446735,10.0167187,1.09470934,-18279.5,19352,18425,2026-04-13,-8916,493,671,fixed entry-known theory guard over all rows
1,scaled_context_guard:lookback_directional_move_points<=-2.5&session_range_points>=30,lookback_fade_push_session_range_30,lookback_directional_move_points <= -2.5;session_range_points >= 30,1639,971,668,504,271,121,75,559,0.57569516,55728,57.39237899,32.99231816,1.17462257,-14255.5,19352,36376,2026-04-13,-8916,426,545,fixed entry-known theory guard over all rows
1,scaled_context_guard:lookback_directional_move_points<=-2.5&risk_to_average_bar_range<=2.5,lookback_fade_push_risk_avg_2.5,lookback_directional_move_points <= -2.5;risk_to_average_bar_range <= 2.5,1639,901,738,486,260,136,19,504,0.55937847,46180.5,51.25471698,25.52907599,1.15055185,-18666,19352,26828.5,2026-03-09,-5160,435,466,fixed entry-known theory guard over all rows
1,scaled_context_guard:lookback_directional_move_points<=-2.5&session_range_points>=30&risk_to_average_bar_range<=2.5,lookback_fade_push_session_range_30_risk_avg_2.5,lookback_directional_move_points <= -2.5;session_range_points >= 30;risk_to_average_bar_range <= 2.5,1639,780,859,427,219,115,19,445,0.57051282,52052.5,66.73397436,39.22513647,1.20135779,-18776,19352,32700.5,2026-03-09,-5160,387,393,fixed entry-known theory guard over all rows
1,scaled_context_guard:lookback_directional_move_points<=-2.5&session_range_points>=30&minutes_after_rth_open>=90,lookback_fade_push_session_range_30_after_90m,lookback_directional_move_points <= -2.5;session_range_points >= 30;minutes_after_rth_open >= 90,1639,813,826,420,221,97,75,475,0.58425584,53784,66.15498155,39.70230638,1.20625388,-14271.5,19352,34432,2026-04-13,-7602,361,452,fixed entry-known theory guard over all rows
