schema_version,outcome_id,event_key,signal_id,symbol,direction,entry_bar_index,exit_bar_index,entry_time,exit_time,entry_price,stop_price,first_target_price,runner_target_price,leg1_exit_price,runner_exit_price,exit_reason,first_target_hit,holding_bars,gross_points,gross_usd,commission_usd,slippage_usd,net_usd,notes,in_news_blackout,matched_news_event_id,matched_news_event_time,matched_news_event_name,matched_news_event_currency,matched_news_event_impact,minutes_from_news_event,news_blackout_before_minutes,news_blackout_after_minutes,news_notes
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_2700:full_stop_hit:2720,ESU26-CME:2:2700:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_2700,ESU26-CME,long,2700,2720,2026-04-24  11:48:00,2026-4-24 13:21:00.000000,7250.25,7240.25,7255.25,7258.25,7240.25,7240.25,full_stop_hit,false,20,-20,-1000,7,50,-1057,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_2705:full_stop_hit:2720,ESU26-CME:2:2705:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_2705,ESU26-CME,long,2705,2720,2026-04-24  12:03:00,2026-4-24 13:21:00.000000,7250.75,7240.75,7255.75,7258.75,7240.75,7240.75,full_stop_hit,false,15,-20,-1000,7,50,-1057,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3118:full_stop_hit:3121,ESU26-CME:2:3118:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3118,ESU26-CME,long,3118,3121,2026-05-01  10:24:00,2026-5-1 10:33:00.000000,7351.75,7341.75,7356.75,7359.75,7341.75,7341.75,full_stop_hit,false,3,-20,-1000,7,50,-1057,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3129:full_stop_hit:3133,ESU26-CME:2:3129:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:short,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3129,ESU26-CME,short,3129,3133,2026-05-01  11:00:00,2026-5-1 11:15:00.000000,7328.5,7338.5,7323.5,7320.5,7338.5,7338.5,full_stop_hit,false,4,-20,-1000,7,50,-1057,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3184:runner_initial_stop_hit:3199,ESU26-CME:2:3184:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3184,ESU26-CME,long,3184,3199,2026-05-01  15:09:00,2026-5-1 15:57:00.000000,7327,7317,7332,7335,7332,7317,runner_initial_stop_hit,true,15,-5,-250,7,50,-307,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3247:runner_initial_stop_hit:3261,ESU26-CME:2:3247:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:short,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3247,ESU26-CME,short,3247,3261,2026-05-04  12:18:00,2026-5-4 13:15:00.000000,7275.75,7285.75,7270.75,7267.75,7270.75,7285.75,runner_initial_stop_hit,true,14,-5,-250,7,50,-307,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3315:full_stop_hit:3320,ESU26-CME:2:3315:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3315,ESU26-CME,long,3315,3320,2026-05-05  10:24:00,2026-5-5 10:45:00.000000,7340.5,7330.5,7345.5,7348.5,7330.5,7330.5,full_stop_hit,false,5,-20,-1000,7,50,-1057,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3919:runner_target_hit:3926,ESU26-CME:2:3919:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3919,ESU26-CME,long,3919,3926,2026-05-13  12:39:00,2026-5-13 13:03:00.000000,7521,7511,7526,7529,7526,7529,runner_target_hit,true,7,13,650,7,50,593,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3923:runner_target_hit:3938,ESU26-CME:2:3923:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3923,ESU26-CME,long,3923,3938,2026-05-13  12:54:00,2026-5-13 14:09:00.000000,7524.5,7514.5,7529.5,7532.5,7529.5,7532.5,runner_target_hit,true,15,13,650,7,50,593,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3928:runner_target_hit:3940,ESU26-CME:2:3928:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3928,ESU26-CME,long,3928,3940,2026-05-13  13:09:00,2026-5-13 14:15:00.000000,7530,7520,7535,7538,7535,7538,runner_target_hit,true,12,13,650,7,50,593,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
