schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,first_target_points,stop_points,runner_target_points,runner_stop_mode,input_signal_rows,input_candidates,evaluated_trades,full_stops,first_target_hits,runner_target_hits,runner_stop_exits,end_of_session_exits,other_exits,positive_net_trades,positive_net_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,scaled_scalp_walk_forward_window=6:train_dates=8:holdout_dates=1,train,true,2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10;2026-06-11;2026-06-12,signal_scaled_scalp:strategy=impulse_continue_3bar_1.5pt:direction=all:first_target_points=3:stop_points=1.5:runner_target_points=15:runner_stop_mode=breakeven,impulse_continue_3bar_1.5pt,all,3,1.5,15,breakeven,48,48,48,34,14,7,7,0,0,14,0.29166667,2250,1314,27.375,19,29,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=6:train_dates=8:holdout_dates=1,holdout,true,2026-06-15,signal_scaled_scalp:strategy=impulse_continue_3bar_1.5pt:direction=all:first_target_points=3:stop_points=1.5:runner_target_points=15:runner_stop_mode=breakeven,impulse_continue_3bar_1.5pt,all,3,1.5,15,breakeven,4,4,4,3,1,0,1,0,0,1,0.25,-300,-378,-94.5,2,2,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=7:train_dates=8:holdout_dates=1,train,true,2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10;2026-06-11;2026-06-12;2026-06-15,signal_scaled_scalp:strategy=impulse_continue_3bar_1.5pt:direction=all:first_target_points=3:stop_points=4:runner_target_points=15:runner_stop_mode=initial,impulse_continue_3bar_1.5pt,all,3,4,15,initial,51,51,51,24,27,14,13,0,0,14,0.2745098,2350,1355.5,26.57843137,20,31,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=7:train_dates=8:holdout_dates=1,holdout,true,2026-06-16,signal_scaled_scalp:strategy=impulse_continue_3bar_1.5pt:direction=all:first_target_points=3:stop_points=4:runner_target_points=15:runner_stop_mode=initial,impulse_continue_3bar_1.5pt,all,3,4,15,initial,8,8,8,2,6,1,5,0,0,1,0.125,-150,-306,-38.25,4,4,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=8:train_dates=8:holdout_dates=1,train,true,2026-06-05;2026-06-08;2026-06-09;2026-06-10;2026-06-11;2026-06-12;2026-06-15;2026-06-16,signal_scaled_scalp:strategy=impulse_continue_3bar_1.5pt:direction=all:first_target_points=3:stop_points=4:runner_target_points=12:runner_stop_mode=initial,impulse_continue_3bar_1.5pt,all,3,4,12,initial,58,58,58,25,33,18,15,0,0,18,0.31034483,2750,1619,27.9137931,24,34,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=8:train_dates=8:holdout_dates=1,holdout,true,2026-06-17,signal_scaled_scalp:strategy=impulse_continue_3bar_1.5pt:direction=all:first_target_points=3:stop_points=4:runner_target_points=12:runner_stop_mode=initial,impulse_continue_3bar_1.5pt,all,3,4,12,initial,7,7,7,3,4,1,3,0,0,1,0.14285714,-600,-736.5,-105.21428571,2,5,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=9:train_dates=8:holdout_dates=1,train,true,2026-06-08;2026-06-09;2026-06-10;2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17,signal_scaled_scalp:strategy=impulse_continue_3bar_1.5pt:direction=all:first_target_points=3:stop_points=4:runner_target_points=12:runner_stop_mode=initial,impulse_continue_3bar_1.5pt,all,3,4,12,initial,62,62,62,26,36,18,18,0,0,18,0.29032258,2200,991,15.98387097,25,37,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=9:train_dates=8:holdout_dates=1,holdout,true,2026-06-18,signal_scaled_scalp:strategy=impulse_continue_3bar_1.5pt:direction=all:first_target_points=3:stop_points=4:runner_target_points=12:runner_stop_mode=initial,impulse_continue_3bar_1.5pt,all,3,4,12,initial,9,9,9,4,5,2,3,0,0,2,0.22222222,-250,-425.5,-47.27777778,1,8,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=10:train_dates=8:holdout_dates=1,train,true,2026-06-09;2026-06-10;2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18,signal_scaled_scalp:strategy=impulse_continue_3bar_1.5pt:direction=all:first_target_points=3:stop_points=2:runner_target_points=12:runner_stop_mode=breakeven,impulse_continue_3bar_1.5pt,all,3,2,12,breakeven,70,70,70,40,30,8,22,0,0,30,0.42857143,1300,-65,-0.92857143,25,45,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=10:train_dates=8:holdout_dates=1,holdout,true,2026-06-19,signal_scaled_scalp:strategy=impulse_continue_3bar_1.5pt:direction=all:first_target_points=3:stop_points=2:runner_target_points=12:runner_stop_mode=breakeven,impulse_continue_3bar_1.5pt,all,3,2,12,breakeven,2,2,2,2,0,0,0,0,0,0,0,-400,-439,-219.5,1,1,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
