schema_version,rank,pass_count,score,first_target_points,stop_points,runner_target_points,runner_stop_mode,guard_name,guard_rules,trades,net_usd,average_net_usd,profit_factor,max_drawdown_usd,drawdown_to_net,worst_day,worst_day_net_usd,min_robustness_net_usd,min_robustness_average_net_usd,max_robustness_negative_window_rate,worst_guarded_window_loss_usd,failed_gates,robustness_windows
1,300,6,5390.81085854,4,6,12,initial,base,lookback_directional_move_points <= -2.5; session_range_points >= 30; risk_to_average_bar_range <= 2.5,929,8584.5,9.24058127,1.03446511,-16057,1.87046421,2026-04-13,-4452,12652.5,15.2439759,0.57142857,6232.5,minimum_fixed_guard_net_usd;minimum_fixed_guard_average_net_usd;minimum_fixed_guard_profit_factor;maximum_fixed_guard_drawdown_to_net_ratio;minimum_worst_robustness_average_net_usd;maximum_robustness_negative_window_rate,"20/5/5:trades=830,net=12652.5,avg=15.2439759,neg_rate=0.40625,worst=-5652,base_net=-24444.5 | 40/5/5:trades=703,net=14491.5,avg=20.61379801,neg_rate=0.35714286,worst=-5652,base_net=-22731 | 40/10/10:trades=703,net=14491.5,avg=20.61379801,neg_rate=0.57142857,worst=-6232.5,base_net=-22731 | 60/10/10:trades=633,net=16419,avg=25.93838863,neg_rate=0.5,worst=-6232.5,base_net=-12790 | 80/10/10:trades=554,net=19709.5,avg=35.5767148,neg_rate=0.4,worst=-6232.5,base_net=-7090.5"
1,301,6,5377.21236584,3,6,8,initial,after90_trades04,lookback_directional_move_points <= -2.5; session_range_points >= 30; risk_to_average_bar_range <= 2.5; minutes_after_rth_open >= 90; entry_trades_to_session_average_trades >= 0.4,707,7201,10.18528996,1.04349533,-13916.5,1.93257881,2026-05-13,-4606,13828.5,21.70879121,0.5,4714,minimum_fixed_guard_net_usd;minimum_fixed_guard_average_net_usd;minimum_fixed_guard_profit_factor;maximum_fixed_guard_drawdown_to_net_ratio;minimum_worst_robustness_average_net_usd;maximum_robustness_negative_window_rate,"20/5/5:trades=637,net=13828.5,avg=21.70879121,neg_rate=0.40625,worst=-4714,base_net=-25882 | 40/5/5:trades=535,net=18492.5,avg=34.56542056,neg_rate=0.35714286,worst=-4714,base_net=-22681 | 40/10/10:trades=535,net=18492.5,avg=34.56542056,neg_rate=0.5,worst=-4080.5,base_net=-22681 | 60/10/10:trades=480,net=14502.5,avg=30.21354167,neg_rate=0.5,worst=-4080.5,base_net=-14852.5 | 80/10/10:trades=423,net=18339,avg=43.35460993,neg_rate=0.4,worst=-4080.5,base_net=-9078"
1,302,6,5344.73926731,6,6,12,initial,sr35_after90_trades04,lookback_directional_move_points <= -2.5; session_range_points >= 35; risk_to_average_bar_range <= 2.5; minutes_after_rth_open >= 90; entry_trades_to_session_average_trades >= 0.4,649,9669.5,14.8990755,1.05073403,-20688.5,2.13956254,2026-05-13,-5056,16987,29.08732877,0.4375,6372,minimum_fixed_guard_net_usd;minimum_fixed_guard_average_net_usd;minimum_fixed_guard_profit_factor;maximum_fixed_guard_drawdown_to_net_ratio;minimum_worst_robustness_average_net_usd;maximum_robustness_negative_window_rate,"20/5/5:trades=584,net=16987,avg=29.08732877,neg_rate=0.4375,worst=-6372,base_net=-10094.5 | 40/5/5:trades=492,net=24006,avg=48.79268293,neg_rate=0.39285714,worst=-6264,base_net=-7681 | 40/10/10:trades=492,net=24006,avg=48.79268293,neg_rate=0.42857143,worst=-5060,base_net=-7681 | 60/10/10:trades=448,net=22501.5,avg=50.2265625,neg_rate=0.41666667,worst=-5060,base_net=-802.5 | 80/10/10:trades=395,net=25885,avg=65.53164557,neg_rate=0.4,worst=-5060,base_net=1597"
1,303,6,5255.94882077,6,6,12,initial,after120_trades04_risk275,lookback_directional_move_points <= -2.5; session_range_points >= 30; risk_to_average_bar_range <= 2.75; minutes_after_rth_open >= 120; entry_trades_to_session_average_trades >= 0.4,621,7353,11.84057971,1.03991423,-16478,2.24099007,2026-05-13,-4424,11934.5,21.54241877,0.5,6500,minimum_fixed_guard_net_usd;minimum_fixed_guard_average_net_usd;minimum_fixed_guard_profit_factor;maximum_fixed_guard_drawdown_to_net_ratio;minimum_worst_robustness_average_net_usd;maximum_robustness_negative_window_rate,"20/5/5:trades=554,net=11934.5,avg=21.54241877,neg_rate=0.4375,worst=-6500,base_net=-10094.5 | 40/5/5:trades=465,net=16757.5,avg=36.03763441,neg_rate=0.39285714,worst=-6500,base_net=-7681 | 40/10/10:trades=465,net=16757.5,avg=36.03763441,neg_rate=0.5,worst=-5324.5,base_net=-7681 | 60/10/10:trades=417,net=16581,avg=39.76258993,neg_rate=0.5,worst=-5324.5,base_net=-802.5 | 80/10/10:trades=365,net=18270,avg=50.05479452,neg_rate=0.5,worst=-5324.5,base_net=1597"
1,304,6,5202.13226611,6,6,12,initial,after90_trades04,lookback_directional_move_points <= -2.5; session_range_points >= 30; risk_to_average_bar_range <= 2.5; minutes_after_rth_open >= 90; entry_trades_to_session_average_trades >= 0.4,707,8738.5,12.35997171,1.04218644,-21087.5,2.4131716,2026-05-13,-5056,14716,23.10204082,0.5,6372,minimum_fixed_guard_net_usd;minimum_fixed_guard_average_net_usd;minimum_fixed_guard_profit_factor;maximum_fixed_guard_drawdown_to_net_ratio;minimum_worst_robustness_average_net_usd;maximum_robustness_negative_window_rate,"20/5/5:trades=637,net=14716,avg=23.10204082,neg_rate=0.5,worst=-6372,base_net=-10094.5 | 40/5/5:trades=535,net=22655,avg=42.34579439,neg_rate=0.46428571,worst=-6264,base_net=-7681 | 40/10/10:trades=535,net=22655,avg=42.34579439,neg_rate=0.42857143,worst=-5060,base_net=-7681 | 60/10/10:trades=480,net=20602.5,avg=42.921875,neg_rate=0.41666667,worst=-5060,base_net=-802.5 | 80/10/10:trades=423,net=23189,avg=54.82033097,neg_rate=0.4,worst=-5060,base_net=1597"
1,305,6,5167.08621304,5,6,12,initial,after120_trades04_risk275,lookback_directional_move_points <= -2.5; session_range_points >= 30; risk_to_average_bar_range <= 2.75; minutes_after_rth_open >= 120; entry_trades_to_session_average_trades >= 0.4,621,6740.5,10.85426731,1.03892418,-16478,2.44462577,2026-05-13,-4424,12234.5,22.08393502,0.5,5800,minimum_fixed_guard_net_usd;minimum_fixed_guard_average_net_usd;minimum_fixed_guard_profit_factor;maximum_fixed_guard_drawdown_to_net_ratio;minimum_worst_robustness_average_net_usd;maximum_robustness_negative_window_rate,"20/5/5:trades=554,net=12234.5,avg=22.08393502,neg_rate=0.46875,worst=-5800,base_net=-21482 | 40/5/5:trades=465,net=16407.5,avg=35.28494624,neg_rate=0.42857143,worst=-5800,base_net=-18018.5 | 40/10/10:trades=465,net=16407.5,avg=35.28494624,neg_rate=0.5,worst=-4574.5,base_net=-18018.5 | 60/10/10:trades=417,net=16981,avg=40.72182254,neg_rate=0.5,worst=-4574.5,base_net=-8940 | 80/10/10:trades=365,net=18420,avg=50.46575342,neg_rate=0.4,worst=-4574.5,base_net=-4340.5"
1,306,6,5164.08313064,5,6,12,initial,sr35_after90_trades04,lookback_directional_move_points <= -2.5; session_range_points >= 35; risk_to_average_bar_range <= 2.5; minutes_after_rth_open >= 90; entry_trades_to_session_average_trades >= 0.4,649,8057,12.41448382,1.04472583,-20088.5,2.49329775,2026-05-13,-5056,16187,27.71746575,0.5,5614,minimum_fixed_guard_net_usd;minimum_fixed_guard_average_net_usd;minimum_fixed_guard_profit_factor;maximum_fixed_guard_drawdown_to_net_ratio;minimum_worst_robustness_average_net_usd;maximum_robustness_negative_window_rate,"20/5/5:trades=584,net=16187,avg=27.71746575,neg_rate=0.4375,worst=-5614,base_net=-21482 | 40/5/5:trades=492,net=22056,avg=44.82926829,neg_rate=0.39285714,worst=-5614,base_net=-18018.5 | 40/10/10:trades=492,net=22056,avg=44.82926829,neg_rate=0.5,worst=-3510,base_net=-18018.5 | 60/10/10:trades=448,net=21351.5,avg=47.65959821,neg_rate=0.5,worst=-3510,base_net=-8940 | 80/10/10:trades=395,net=24435,avg=61.86075949,neg_rate=0.4,worst=-3510,base_net=-4340.5"
1,307,6,5031.10612062,3,8,15,initial,sr35_after90_trades04,lookback_directional_move_points <= -2.5; session_range_points >= 35; risk_to_average_bar_range <= 2.5; minutes_after_rth_open >= 90; entry_trades_to_session_average_trades >= 0.4,613,6459,10.53670473,1.03573009,-17873.5,2.76722403,2025-11-25,-4724,16240.5,30.68214936,0.34375,7957,minimum_fixed_guard_net_usd;minimum_fixed_guard_average_net_usd;minimum_fixed_guard_profit_factor;maximum_fixed_guard_drawdown_to_net_ratio;minimum_worst_robustness_average_net_usd;maximum_worst_guarded_window_loss_usd,"20/5/5:trades=549,net=16844.5,avg=30.68214936,neg_rate=0.34375,worst=-7957,base_net=-24444.5 | 40/5/5:trades=462,net=20753.5,avg=44.92099567,neg_rate=0.32142857,worst=-7957,base_net=-20593.5 | 40/10/10:trades=462,net=20753.5,avg=44.92099567,neg_rate=0.28571429,worst=-3953,base_net=-20593.5 | 60/10/10:trades=421,net=16240.5,avg=38.5760095,neg_rate=0.25,worst=-3953,base_net=-15202.5 | 80/10/10:trades=370,net=16872.5,avg=45.60135135,neg_rate=0.2,worst=-3953,base_net=-15028"
1,308,6,4778.88967861,5,6,15,initial,risk175,lookback_directional_move_points <= -2.5; session_range_points >= 30; risk_to_average_bar_range <= 1.75,847,4246,5.01298701,1.01765885,-14561,3.42934527,2026-01-29,-4120,11216,16.14077025,0.35714286,6520,minimum_fixed_guard_net_usd;minimum_fixed_guard_average_net_usd;minimum_fixed_guard_profit_factor;maximum_fixed_guard_drawdown_to_net_ratio;minimum_worst_robustness_average_net_usd;maximum_robustness_negative_window_rate,"20/5/5:trades=753,net=12154,avg=16.14077025,neg_rate=0.34375,worst=-6520,base_net=-43169.5 | 40/5/5:trades=637,net=11216,avg=17.60753532,neg_rate=0.35714286,worst=-6520,base_net=-38993.5 | 40/10/10:trades=637,net=11216,avg=17.60753532,neg_rate=0.35714286,worst=-5670.5,base_net=-38993.5 | 60/10/10:trades=580,net=11402.5,avg=19.65948276,neg_rate=0.33333333,worst=-5670.5,base_net=-27327.5 | 80/10/10:trades=511,net=14010.5,avg=27.41780822,neg_rate=0.3,worst=-4880.5,base_net=-19728"
1,309,6,4703.90968108,5,6,12,initial,after90_trades04,lookback_directional_move_points <= -2.5; session_range_points >= 30; risk_to_average_bar_range <= 2.5; minutes_after_rth_open >= 90; entry_trades_to_session_average_trades >= 0.4,707,6076,8.59405941,1.03087555,-21337.5,3.51176761,2026-05-13,-5056,13016,20.433281,0.58333333,5614,minimum_fixed_guard_net_usd;minimum_fixed_guard_average_net_usd;minimum_fixed_guard_profit_factor;maximum_fixed_guard_drawdown_to_net_ratio;minimum_worst_robustness_average_net_usd;maximum_robustness_negative_window_rate,"20/5/5:trades=637,net=13016,avg=20.433281,neg_rate=0.53125,worst=-5614,base_net=-21482 | 40/5/5:trades=535,net=20105,avg=37.57943925,neg_rate=0.46428571,worst=-5614,base_net=-18018.5 | 40/10/10:trades=535,net=20105,avg=37.57943925,neg_rate=0.57142857,worst=-3510,base_net=-18018.5 | 60/10/10:trades=480,net=19102.5,avg=39.796875,neg_rate=0.58333333,worst=-3510,base_net=-8940 | 80/10/10:trades=423,net=21539,avg=50.91962175,neg_rate=0.5,worst=-3510,base_net=-4340.5"
1,310,6,4006.12279838,4,6,12,initial,sr35_after90_trades04,lookback_directional_move_points <= -2.5; session_range_points >= 35; risk_to_average_bar_range <= 2.5; minutes_after_rth_open >= 90; entry_trades_to_session_average_trades >= 0.4,649,3957,6.09707242,1.02298737,-20788.5,5.25360121,2026-05-13,-4556,11087,18.98458904,0.5,5172,minimum_fixed_guard_net_usd;minimum_fixed_guard_average_net_usd;minimum_fixed_guard_profit_factor;maximum_fixed_guard_drawdown_to_net_ratio;minimum_worst_robustness_average_net_usd;maximum_robustness_negative_window_rate,"20/5/5:trades=584,net=11087,avg=18.98458904,neg_rate=0.4375,worst=-5172,base_net=-24444.5 | 40/5/5:trades=492,net=16406,avg=33.34552846,neg_rate=0.39285714,worst=-5172,base_net=-22731 | 40/10/10:trades=492,net=16406,avg=33.34552846,neg_rate=0.5,worst=-3756,base_net=-22731 | 60/10/10:trades=448,net=16101.5,avg=35.94084821,neg_rate=0.5,worst=-3756,base_net=-12790 | 80/10/10:trades=395,net=20685,avg=52.36708861,neg_rate=0.4,worst=-2960,base_net=-7090.5"
1,311,5,5356.70137081,3,12,10,initial,after120_trades04_risk275,lookback_directional_move_points <= -2.5; session_range_points >= 30; risk_to_average_bar_range <= 2.75; minutes_after_rth_open >= 120; entry_trades_to_session_average_trades >= 0.4,442,28806,65.1719457,1.21303849,-10884.5,0.37785531,2026-03-26,-5142,24935,84.52542373,0.33333333,7186,minimum_fixed_guard_trades;minimum_fixed_guard_net_usd;minimum_fixed_guard_average_net_usd;minimum_fixed_guard_profit_factor;maximum_fixed_guard_drawdown_to_net_ratio;all_robustness_improved_vs_unguarded;maximum_worst_guarded_window_loss_usd,"20/5/5:trades=388,net=35384,avg=91.19587629,neg_rate=0.21875,worst=-7186,base_net=32330.5 | 40/5/5:trades=326,net=30093,avg=92.30981595,neg_rate=0.21428571,worst=-7186,base_net=30106.5 | 40/10/10:trades=326,net=30093,avg=92.30981595,neg_rate=0.28571429,worst=-4858,base_net=30106.5 | 60/10/10:trades=295,net=24935,avg=84.52542373,neg_rate=0.33333333,worst=-4858,base_net=28322.5 | 80/10/10:trades=265,net=32232.5,avg=121.63207547,neg_rate=0.2,worst=-4191.5,base_net=18622"
1,312,5,5347.11678117,5,12,12,initial,after120_trades04_risk275,lookback_directional_move_points <= -2.5; session_range_points >= 30; risk_to_average_bar_range <= 2.75; minutes_after_rth_open >= 120; entry_trades_to_session_average_trades >= 0.4,442,32056,72.52488688,1.1948847,-13634.5,0.42533379,2026-03-26,-5692,26522.5,89.90677966,0.33333333,7686,minimum_fixed_guard_trades;minimum_fixed_guard_net_usd;minimum_fixed_guard_average_net_usd;minimum_fixed_guard_profit_factor;maximum_fixed_guard_drawdown_to_net_ratio;all_robustness_improved_vs_unguarded;maximum_worst_guarded_window_loss_usd,"20/5/5:trades=388,net=40734,avg=104.98453608,neg_rate=0.21875,worst=-7686,base_net=39005.5 | 40/5/5:trades=326,net=32193,avg=98.75153374,neg_rate=0.21428571,worst=-7686,base_net=37294 | 40/10/10:trades=326,net=32193,avg=98.75153374,neg_rate=0.28571429,worst=-5658,base_net=37294 | 60/10/10:trades=295,net=26522.5,avg=89.90677966,neg_rate=0.33333333,worst=-5658,base_net=34985 | 80/10/10:trades=265,net=34270,avg=129.32075472,neg_rate=0.2,worst=-3141.5,base_net=20022"
1,313,5,5260.80853597,6,12,8,initial,after120_trades04_risk275,lookback_directional_move_points <= -2.5; session_range_points >= 30; risk_to_average_bar_range <= 2.75; minutes_after_rth_open >= 120; entry_trades_to_session_average_trades >= 0.4,442,31768.5,71.87443439,1.19901584,-13236,0.41663912,2026-03-26,-6492,27747.5,94.05932203,0.33333333,9436,minimum_fixed_guard_trades;minimum_fixed_guard_net_usd;minimum_fixed_guard_average_net_usd;minimum_fixed_guard_profit_factor;maximum_fixed_guard_drawdown_to_net_ratio;all_robustness_improved_vs_unguarded;maximum_worst_guarded_window_loss_usd,"20/5/5:trades=388,net=39871.5,avg=102.76159794,neg_rate=0.25,worst=-9436,base_net=43818 | 40/5/5:trades=326,net=32680.5,avg=100.24693252,neg_rate=0.25,worst=-9436,base_net=38769 | 40/10/10:trades=326,net=32680.5,avg=100.24693252,neg_rate=0.28571429,worst=-5904,base_net=38769 | 60/10/10:trades=295,net=27747.5,avg=94.05932203,neg_rate=0.33333333,worst=-5904,base_net=35122.5 | 80/10/10:trades=265,net=35695,avg=134.69811321,neg_rate=0.2,worst=-5904,base_net=25772"
