schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,first_target_points,stop_points,runner_target_points,runner_stop_mode,input_signal_rows,input_candidates,evaluated_trades,full_stops,first_target_hits,runner_target_hits,runner_stop_exits,end_of_session_exits,other_exits,positive_net_trades,positive_net_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,scaled_scalp_walk_forward_window=1:train_dates=8:holdout_dates=1,train,true,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-01,signal_scaled_scalp:strategy=vwap_extension_fade_3pt:direction=all:first_target_points=3:stop_points=8:runner_target_points=20:runner_stop_mode=breakeven,vwap_extension_fade_3pt,all,3,8,20,breakeven,48,48,48,9,39,11,23,5,0,39,0.8125,11487.5,11151.5,232.32291667,27,21,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=1:train_dates=8:holdout_dates=1,holdout,true,2026-06-02,signal_scaled_scalp:strategy=vwap_extension_fade_3pt:direction=all:first_target_points=3:stop_points=8:runner_target_points=20:runner_stop_mode=breakeven,vwap_extension_fade_3pt,all,3,8,20,breakeven,6,6,6,4,2,0,2,0,0,2,0.33333333,-2900,-2942,-490.33333333,0,6,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=2:train_dates=8:holdout_dates=1,train,true,2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-01;2026-06-02,signal_scaled_scalp:strategy=vwap_extension_fade_3pt:direction=all:first_target_points=2:stop_points=8:runner_target_points=20:runner_stop_mode=breakeven,vwap_extension_fade_3pt,all,2,8,20,breakeven,48,48,48,7,41,9,27,5,0,41,0.85416667,9337.5,9001.5,187.53125,22,26,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=2:train_dates=8:holdout_dates=1,holdout,true,2026-06-03,signal_scaled_scalp:strategy=vwap_extension_fade_3pt:direction=all:first_target_points=2:stop_points=8:runner_target_points=20:runner_stop_mode=breakeven,vwap_extension_fade_3pt,all,2,8,20,breakeven,6,6,6,1,5,0,5,0,0,5,0.83333333,-300,-342,-57,4,2,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=3:train_dates=8:holdout_dates=1,train,true,2026-05-25;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-01;2026-06-02;2026-06-03,signal_scaled_scalp:strategy=vwap_extension_fade_3pt:direction=all:first_target_points=2:stop_points=8:runner_target_points=20:runner_stop_mode=breakeven,vwap_extension_fade_3pt,all,2,8,20,breakeven,48,48,48,6,42,6,31,5,0,42,0.875,7237.5,6901.5,143.78125,22,26,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=3:train_dates=8:holdout_dates=1,holdout,true,2026-06-04,signal_scaled_scalp:strategy=vwap_extension_fade_3pt:direction=all:first_target_points=2:stop_points=8:runner_target_points=20:runner_stop_mode=breakeven,vwap_extension_fade_3pt,all,2,8,20,breakeven,6,6,6,1,5,1,4,0,0,5,0.83333333,700,658,109.66666667,1,5,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=4:train_dates=8:holdout_dates=1,train,true,2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-01;2026-06-02;2026-06-03;2026-06-04,signal_scaled_scalp:strategy=vwap_extension_fade_3pt:direction=all:first_target_points=2:stop_points=8:runner_target_points=20:runner_stop_mode=breakeven,vwap_extension_fade_3pt,all,2,8,20,breakeven,48,48,48,7,41,7,34,0,0,41,0.85416667,5500,5164,107.58333333,17,31,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=4:train_dates=8:holdout_dates=1,holdout,true,2026-06-05,signal_scaled_scalp:strategy=vwap_extension_fade_3pt:direction=all:first_target_points=2:stop_points=8:runner_target_points=20:runner_stop_mode=breakeven,vwap_extension_fade_3pt,all,2,8,20,breakeven,6,6,6,0,6,0,6,0,0,6,1,600,558,93,5,1,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=5:train_dates=8:holdout_dates=1,train,true,2026-05-27;2026-05-28;2026-05-29;2026-06-01;2026-06-02;2026-06-03;2026-06-04;2026-06-05,signal_scaled_scalp:strategy=vwap_extension_fade_3pt:direction=all:first_target_points=2:stop_points=8:runner_target_points=10:runner_stop_mode=breakeven,vwap_extension_fade_3pt,all,2,8,10,breakeven,48,48,48,6,42,10,32,0,0,42,0.875,4400,4064,84.66666667,21,27,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=5:train_dates=8:holdout_dates=1,holdout,true,2026-06-08,signal_scaled_scalp:strategy=vwap_extension_fade_3pt:direction=all:first_target_points=2:stop_points=8:runner_target_points=10:runner_stop_mode=breakeven,vwap_extension_fade_3pt,all,2,8,10,breakeven,6,6,6,1,5,1,4,0,0,5,0.83333333,200,158,26.33333333,2,4,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=6:train_dates=8:holdout_dates=1,train,true,2026-05-28;2026-05-29;2026-06-01;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08,signal_scaled_scalp:strategy=vwap_extension_fade_3pt:direction=all:first_target_points=3:stop_points=6:runner_target_points=20:runner_stop_mode=initial,vwap_extension_fade_3pt,all,3,6,20,initial,48,48,48,11,37,15,21,1,0,16,0.33333333,7775,7439,154.97916667,19,29,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=6:train_dates=8:holdout_dates=1,holdout,true,2026-06-09,signal_scaled_scalp:strategy=vwap_extension_fade_3pt:direction=all:first_target_points=3:stop_points=6:runner_target_points=20:runner_stop_mode=initial,vwap_extension_fade_3pt,all,3,6,20,initial,6,6,6,5,1,0,1,0,0,0,0,-3150,-3192,-532,5,1,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=7:train_dates=8:holdout_dates=1,train,true,2026-05-29;2026-06-01;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09,signal_scaled_scalp:strategy=vwap_extension_fade_3pt:direction=all:first_target_points=3:stop_points=6:runner_target_points=20:runner_stop_mode=initial,vwap_extension_fade_3pt,all,3,6,20,initial,48,48,48,15,33,14,18,1,0,15,0.3125,4675,4339,90.39583333,23,25,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=7:train_dates=8:holdout_dates=1,holdout,true,2026-06-10,signal_scaled_scalp:strategy=vwap_extension_fade_3pt:direction=all:first_target_points=3:stop_points=6:runner_target_points=20:runner_stop_mode=initial,vwap_extension_fade_3pt,all,3,6,20,initial,6,6,6,0,6,1,5,0,0,1,0.16666667,400,358,59.66666667,2,4,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=8:train_dates=8:holdout_dates=1,train,true,2026-06-01;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,signal_scaled_scalp:strategy=vwap_extension_fade_3pt:direction=all:first_target_points=3:stop_points=6:runner_target_points=20:runner_stop_mode=initial,vwap_extension_fade_3pt,all,3,6,20,initial,48,48,48,13,35,13,21,1,0,14,0.29166667,4275,3939,82.0625,22,26,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=8:train_dates=8:holdout_dates=1,holdout,true,2026-06-11,signal_scaled_scalp:strategy=vwap_extension_fade_3pt:direction=all:first_target_points=3:stop_points=6:runner_target_points=20:runner_stop_mode=initial,vwap_extension_fade_3pt,all,3,6,20,initial,6,6,6,1,5,1,4,0,0,1,0.16666667,-50,-92,-15.33333333,4,2,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=9:train_dates=8:holdout_dates=1,train,true,2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10;2026-06-11,signal_scaled_scalp:strategy=vwap_extension_fade_3pt:direction=all:first_target_points=4:stop_points=4:runner_target_points=8:runner_stop_mode=breakeven,vwap_extension_fade_3pt,all,4,4,8,breakeven,48,48,48,22,26,14,12,0,0,26,0.54166667,2000,1664,34.66666667,23,25,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=9:train_dates=8:holdout_dates=1,holdout,true,2026-06-12,signal_scaled_scalp:strategy=vwap_extension_fade_3pt:direction=all:first_target_points=4:stop_points=4:runner_target_points=8:runner_stop_mode=breakeven,vwap_extension_fade_3pt,all,4,4,8,breakeven,6,6,6,3,3,0,3,0,0,3,0.5,-600,-642,-107,3,3,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
