schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,min_minutes_after_rth_open,max_minutes_after_rth_open,max_risk_to_average_bar_range,max_runner_target_to_average_bar_range,min_signal_abs_delta_sum_to_average_abs_delta,max_signal_abs_delta_sum_to_average_abs_delta,min_entry_volume_to_average_volume,min_entry_trades_to_average_trades,input_context_rows,evaluated_trades,runner_target_hits,full_stops,runner_stop_exits,other_exits,positive_net_trades,positive_net_rate,net_usd,average_net_usd,long_trades,short_trades,notes
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,true,2026-06-10;2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=long:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0,delta_impulse_continue_10bar_2.5pt_50d,long,0,180,4,4,0,20,0,0,48,26,17,6,2,1,17,0.65384615,2318,89.15384615,26,0,scaled context filter sweep; uses only entry-known normalized volatility/activity fields
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,holdout,true,2026-06-22;2026-06-23,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=long:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0,delta_impulse_continue_10bar_2.5pt_50d,long,0,180,4,4,0,20,0,0,12,3,2,1,0,0,2,0.66666667,129,43,3,0,scaled context filter sweep; uses only entry-known normalized volatility/activity fields
1,scaled_context_filter_walk_forward_window=2:train_dates=8:holdout_dates=2,train,true,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19;2026-06-22,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=long:minutes=0-120:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0,delta_impulse_continue_10bar_2.5pt_50d,long,0,120,4,4,0,20,0,0,48,18,12,3,2,1,12,0.66666667,2524,140.22222222,18,0,scaled context filter sweep; uses only entry-known normalized volatility/activity fields
1,scaled_context_filter_walk_forward_window=2:train_dates=8:holdout_dates=2,holdout,true,2026-06-23;2026-06-24,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=long:minutes=0-120:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0,delta_impulse_continue_10bar_2.5pt_50d,long,0,120,4,4,0,20,0,0,12,4,4,0,0,0,4,1,2372,593,4,0,scaled context filter sweep; uses only entry-known normalized volatility/activity fields
1,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,train,true,2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19;2026-06-22;2026-06-23,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=long:minutes=0-120:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0,delta_impulse_continue_10bar_2.5pt_50d,long,0,120,4,4,0,20,0,0,48,19,13,3,2,1,13,0.68421053,3117,164.05263158,19,0,scaled context filter sweep; uses only entry-known normalized volatility/activity fields
1,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,holdout,true,2026-06-24;2026-06-25,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=long:minutes=0-120:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0,delta_impulse_continue_10bar_2.5pt_50d,long,0,120,4,4,0,20,0,0,12,6,5,0,1,0,5,0.83333333,2658,443,6,0,scaled context filter sweep; uses only entry-known normalized volatility/activity fields
1,scaled_context_filter_walk_forward_window=4:train_dates=8:holdout_dates=2,train,true,2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19;2026-06-22;2026-06-23;2026-06-24,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=long:minutes=0-120:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0,delta_impulse_continue_10bar_2.5pt_50d,long,0,120,4,4,0,20,0,0,48,17,13,2,1,1,13,0.76470588,4481,263.58823529,17,0,scaled context filter sweep; uses only entry-known normalized volatility/activity fields
1,scaled_context_filter_walk_forward_window=4:train_dates=8:holdout_dates=2,holdout,true,2026-06-25;2026-06-26,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=long:minutes=0-120:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0,delta_impulse_continue_10bar_2.5pt_50d,long,0,120,4,4,0,20,0,0,12,6,4,0,2,0,4,0.66666667,1758,293,6,0,scaled context filter sweep; uses only entry-known normalized volatility/activity fields
