schema_version,feature,bucket_index,bucket_count,min_value,max_value,trades,runner_target_hits,full_stops,runner_stop_exits,other_exits,positive_net_trades,positive_net_rate,net_usd,average_net_usd
1,fade_edge_score,10,10,0.94488189,0.98888889,130,55,35,14,26,72,0.55384615,1127.5,8.67307692
1,opening_range_fade_edge_score,1,10,-2.07246377,0.5210084,129,70,39,10,10,77,0.59689922,8134.5,63.05813953
1,opening_range_fade_edge_score,2,10,0.52173913,0.73,130,68,39,20,3,70,0.53846154,3152.5,24.25
1,opening_range_fade_edge_score,3,10,0.73043478,0.87735849,130,60,44,22,4,64,0.49230769,-7897.5,-60.75
1,opening_range_fade_edge_score,4,10,0.88059701,1.04545455,130,62,41,21,6,66,0.50769231,-3010,-23.15384615
1,opening_range_fade_edge_score,5,10,1.046875,1.2027027,130,64,31,18,17,76,0.58461538,10877.5,83.67307692
1,opening_range_fade_edge_score,6,10,1.20454545,1.35714286,129,72,32,14,11,79,0.6124031,17259.5,133.79457364
1,opening_range_fade_edge_score,7,10,1.35746606,1.54901961,130,65,37,13,15,75,0.57692308,4465,34.34615385
1,opening_range_fade_edge_score,8,10,1.55782313,1.83950617,130,46,45,24,15,56,0.43076923,-18747.5,-144.21153846
1,opening_range_fade_edge_score,9,10,1.84,2.28235294,130,56,37,20,17,68,0.52307692,-1535,-11.80769231
1,opening_range_fade_edge_score,10,10,2.28467153,6.17808219,130,69,31,13,17,78,0.6,14402.5,110.78846154
1,directional_open_distance_points,1,10,-193,-57,129,64,37,23,5,65,0.50387597,184.5,1.43023256
1,directional_open_distance_points,2,10,-56.75,-44,130,64,32,19,15,74,0.56923077,9615,73.96153846
1,directional_open_distance_points,3,10,-44,-35.5,130,62,32,14,22,80,0.61538462,10390,79.92307692
1,directional_open_distance_points,4,10,-35.5,-28,130,57,43,21,9,63,0.48461538,-7822.5,-60.17307692
1,directional_open_distance_points,5,10,-27.75,-21.75,130,59,41,20,10,62,0.47692308,-7585,-58.34615385
1,directional_open_distance_points,6,10,-21.75,-15.5,129,61,34,19,15,73,0.56589147,5847,45.3255814
1,directional_open_distance_points,7,10,-15.5,-9.75,130,64,44,17,5,67,0.51538462,-3672.5,-28.25
1,directional_open_distance_points,8,10,-9.75,-4,130,71,33,12,14,79,0.60769231,14402.5,110.78846154
1,directional_open_distance_points,9,10,-3.75,6.25,130,59,41,16,14,70,0.53846154,-2197.5,-16.90384615
1,directional_open_distance_points,10,10,6.25,69,130,71,39,14,6,76,0.58461538,7940,61.07692308
1,directional_opening_range_breakout_points,1,10,-225.5,-71.5,129,64,38,21,6,69,0.53488372,2084.5,16.15891473
1,directional_opening_range_breakout_points,2,10,-71.25,-57,130,69,36,19,6,70,0.53846154,5727.5,44.05769231
1,directional_opening_range_breakout_points,3,10,-56.75,-48,130,55,39,23,13,64,0.49230769,-5460,-42
1,directional_opening_range_breakout_points,4,10,-48,-39.75,130,62,32,17,19,79,0.60769231,9952.5,76.55769231
1,directional_opening_range_breakout_points,5,10,-39.75,-32,130,68,36,19,7,71,0.54615385,6577.5,50.59615385
1,directional_opening_range_breakout_points,6,10,-32,-26.75,129,63,36,20,10,68,0.52713178,2222,17.2248062
1,directional_opening_range_breakout_points,7,10,-26.75,-22.5,130,56,38,17,19,68,0.52307692,-2835,-21.80769231
1,directional_opening_range_breakout_points,8,10,-22.5,-17.5,130,67,41,14,8,72,0.55384615,3040,23.38461538
1,directional_opening_range_breakout_points,9,10,-17.5,-12,130,66,42,12,10,72,0.55384615,-147.5,-1.13461538
1,directional_opening_range_breakout_points,10,10,-12,65,130,62,38,13,17,76,0.58461538,5940,45.69230769
1,lookback_directional_move_points,1,10,-93.75,-28,129,80,30,18,1,80,0.62015504,21334.5,165.38372093
1,lookback_directional_move_points,2,10,-28,-19.5,130,72,38,19,1,73,0.56153846,7365,56.65384615
1,lookback_directional_move_points,3,10,-19.25,-14.5,130,66,41,14,9,72,0.55384615,2302.5,17.71153846
1,lookback_directional_move_points,4,10,-14.5,-10.5,130,68,35,21,6,73,0.56153846,7165,55.11538462
1,lookback_directional_move_points,5,10,-10.5,-7.75,130,58,45,13,14,68,0.52307692,-7497.5,-57.67307692
1,lookback_directional_move_points,6,10,-7.75,-5.25,129,63,32,12,22,78,0.60465116,11497,89.12403101
1,lookback_directional_move_points,7,10,-5.25,-2.5,130,60,28,21,21,75,0.57692308,10252.5,78.86538462
1,lookback_directional_move_points,8,10,-2.5,0.25,130,56,43,13,18,67,0.51538462,-6547.5,-50.36538462
1,lookback_directional_move_points,9,10,0.25,4.75,130,49,40,25,16,60,0.46153846,-10660,-82
1,lookback_directional_move_points,10,10,5,51.75,130,60,44,19,7,63,0.48461538,-8110,-62.38461538
1,lookback_efficiency_ratio,1,10,0,0.03896104,129,51,47,17,14,59,0.45736434,-16378,-126.96124031
1,lookback_efficiency_ratio,2,10,0.03921569,0.07777778,130,53,35,32,10,61,0.46923077,-4422.5,-34.01923077
1,lookback_efficiency_ratio,3,10,0.07801418,0.11910112,130,72,34,15,9,78,0.6,13790,106.07692308
1,lookback_efficiency_ratio,4,10,0.11959288,0.15830116,130,68,44,11,7,74,0.56923077,1690,13
1,lookback_efficiency_ratio,5,10,0.15897436,0.20152091,130,68,36,14,12,76,0.58461538,8065,62.03846154
1,lookback_efficiency_ratio,6,10,0.20181406,0.24731183,129,65,28,19,17,78,0.60465116,14822,114.89922481
1,lookback_efficiency_ratio,7,10,0.2479564,0.30853392,130,60,46,12,12,67,0.51538462,-7822.5,-60.17307692
1,lookback_efficiency_ratio,8,10,0.30894309,0.37398374,130,67,27,21,15,75,0.57692308,14590,112.23076923
1,lookback_efficiency_ratio,9,10,0.3740458,0.47528517,130,67,34,21,8,71,0.54615385,7415,57.03846154
1,lookback_efficiency_ratio,10,10,0.47598253,0.94117647,130,61,45,13,11,70,0.53846154,-4647.5,-35.75
1,lookback_choppiness_score,1,10,0.05882353,0.52398524,129,61,44,13,11,70,0.54263566,-3615.5,-28.02713178
1,lookback_choppiness_score,2,10,0.52401747,0.62529833,130,67,35,20,8,71,0.54615385,6665,51.26923077
1,lookback_choppiness_score,3,10,0.6259542,0.69058296,130,67,26,22,15,75,0.57692308,15340,118
1,lookback_choppiness_score,4,10,0.69105691,0.75117371,130,59,47,12,12,66,0.50769231,-9572.5,-73.63461538
1,lookback_choppiness_score,5,10,0.7520436,0.79818594,130,66,28,19,17,79,0.60769231,15540,119.53846154
1,lookback_choppiness_score,6,10,0.79847909,0.84090909,129,67,36,14,12,75,0.58139535,7347,56.95348837
1,lookback_choppiness_score,7,10,0.84102564,0.88030888,130,68,44,11,7,74,0.56923077,1690,13
1,lookback_choppiness_score,8,10,0.88040712,0.921875,130,73,33,15,9,79,0.60769231,15540,119.53846154
1,lookback_choppiness_score,9,10,0.92198582,0.9602649,130,53,36,32,9,60,0.46153846,-5785,-44.5
1,lookback_choppiness_score,10,10,0.96078431,1,130,51,47,17,15,60,0.46153846,-16047.5,-123.44230769
1,session_range_points,1,10,9.75,25.5,129,47,48,18,16,61,0.47286822,-17040.5,-132.09689922
1,session_range_points,2,10,25.5,31.75,130,58,36,13,23,71,0.54615385,1777.5,13.67307692
1,session_range_points,3,10,31.75,37.75,130,60,41,13,16,67,0.51538462,-4210,-32.38461538
1,session_range_points,4,10,37.75,43,130,62,36,22,10,70,0.53846154,2452.5,18.86538462
1,session_range_points,5,10,43,47.5,130,75,32,11,12,86,0.66153846,20127.5,154.82692308
1,session_range_points,6,10,47.5,56.5,129,65,32,21,11,74,0.57364341,9672,74.97674419
1,session_range_points,7,10,56.5,66.5,130,56,43,20,11,63,0.48461538,-9235,-71.03846154
1,session_range_points,8,10,66.5,75.5,130,78,29,19,4,79,0.60769231,20252.5,155.78846154
1,session_range_points,9,10,75.75,92,130,65,34,20,11,71,0.54615385,7190,55.30769231
1,session_range_points,10,10,92.25,243.75,130,66,45,18,1,67,0.51538462,-3885,-29.88461538
1,entry_volume_to_session_average_volume,1,10,0.13201021,0.39405447,129,48,43,19,19,61,0.47286822,-12615.5,-97.79457364
1,entry_volume_to_session_average_volume,2,10,0.39461973,0.45952533,130,61,37,18,14,67,0.51538462,-610,-4.69230769
