schema_version,feature,bucket_index,bucket_count,min_value,max_value,trades,runner_target_hits,full_stops,runner_stop_exits,other_exits,positive_net_trades,positive_net_rate,net_usd,average_net_usd
1,fade_edge_score,9,10,0.918429,0.94666667,164,77,53,15,19,93,0.56707317,-10.5,-0.06402439
1,fade_edge_score,10,10,0.94690265,0.98888889,164,74,44,17,29,94,0.57317073,4464.5,27.22256098
1,opening_range_fade_edge_score,1,10,-2.45890411,0.52727273,163,84,51,14,14,95,0.58282209,5171.5,31.72699387
1,opening_range_fade_edge_score,2,10,0.52739726,0.73770492,164,81,53,27,3,83,0.50609756,-3935.5,-23.99695122
1,opening_range_fade_edge_score,3,10,0.73972603,0.88636364,164,85,48,27,4,89,0.54268293,4514.5,27.52743902
1,opening_range_fade_edge_score,4,10,0.89119171,1.05555556,164,73,55,27,9,79,0.48170732,-10535.5,-64.24085366
1,opening_range_fade_edge_score,5,10,1.05555556,1.20987654,164,85,38,25,16,97,0.59146341,17577,107.17682927
1,opening_range_fade_edge_score,6,10,1.21008403,1.3836478,164,80,54,15,15,90,0.54878049,289.5,1.7652439
1,opening_range_fade_edge_score,7,10,1.3852459,1.59124088,164,83,49,15,17,94,0.57317073,5752,35.07317073
1,opening_range_fade_edge_score,8,10,1.59210526,1.86666667,164,64,53,31,16,75,0.45731707,-17098,-104.25609756
1,opening_range_fade_edge_score,9,10,1.86875,2.37837838,164,73,47,20,24,89,0.54268293,64.5,0.39329268
1,opening_range_fade_edge_score,10,10,2.38235294,8.05825243,164,88,41,14,21,100,0.6097561,17552,107.02439024
1,directional_open_distance_points,1,10,-193,-59.25,163,84,50,23,6,87,0.53374233,2396.5,14.70245399
1,directional_open_distance_points,2,10,-59.25,-45.75,164,81,47,21,15,90,0.54878049,4664.5,28.44207317
1,directional_open_distance_points,3,10,-45.75,-36.5,164,84,35,14,31,109,0.66463415,24339.5,148.41158537
1,directional_open_distance_points,4,10,-36.5,-29,164,74,54,25,11,81,0.49390244,-8710.5,-53.11280488
1,directional_open_distance_points,5,10,-29,-22.5,164,65,57,28,14,71,0.43292683,-21648,-132
1,directional_open_distance_points,6,10,-22.5,-16.5,164,82,43,23,16,94,0.57317073,10152,61.90243902
1,directional_open_distance_points,7,10,-16.5,-10.25,164,76,57,24,7,80,0.48780488,-9935.5,-60.58231707
1,directional_open_distance_points,8,10,-10.25,-4.5,164,87,43,19,15,96,0.58536585,14152,86.29268293
1,directional_open_distance_points,9,10,-4.5,6.5,164,77,55,18,14,88,0.53658537,-4285.5,-26.13109756
1,directional_open_distance_points,10,10,6.5,93.75,164,86,48,20,10,95,0.57926829,8227,50.16463415
1,directional_opening_range_breakout_points,1,10,-225.5,-74.75,163,81,55,19,8,88,0.5398773,-2291,-14.05521472
1,directional_opening_range_breakout_points,2,10,-74.5,-58.75,164,85,49,23,7,86,0.52439024,2552,15.56097561
1,directional_opening_range_breakout_points,3,10,-58.75,-48.5,164,79,45,28,12,87,0.5304878,3927,23.94512195
1,directional_opening_range_breakout_points,4,10,-48.5,-40.25,164,73,43,21,27,97,0.59146341,6614.5,40.33231707
1,directional_opening_range_breakout_points,5,10,-40.25,-33,164,84,42,24,14,91,0.55487805,10064.5,61.36890244
1,directional_opening_range_breakout_points,6,10,-33,-27.75,164,70,57,30,7,72,0.43902439,-18310.5,-111.64939024
1,directional_opening_range_breakout_points,7,10,-27.5,-23,164,85,40,18,21,100,0.6097561,17277,105.34756098
1,directional_opening_range_breakout_points,8,10,-23,-18.5,164,86,55,11,12,93,0.56707317,3527,21.50609756
1,directional_opening_range_breakout_points,9,10,-18.25,-12.75,164,74,54,25,11,81,0.49390244,-10260.5,-62.56402439
1,directional_opening_range_breakout_points,10,10,-12.75,89.75,164,79,49,16,20,96,0.58536585,6252,38.12195122
1,lookback_directional_move_points,1,10,-103,-29.25,163,94,45,23,1,94,0.57668712,14496.5,88.93558282
1,lookback_directional_move_points,2,10,-29,-20,164,90,53,20,1,91,0.55487805,4527,27.60365854
1,lookback_directional_move_points,3,10,-19.75,-15,164,79,54,22,9,85,0.51829268,-3860.5,-23.53963415
1,lookback_directional_move_points,4,10,-15,-11.25,164,88,45,23,8,94,0.57317073,10564.5,64.41768293
1,lookback_directional_move_points,5,10,-11.25,-8,164,75,57,15,17,88,0.53658537,-7560.5,-46.10060976
1,lookback_directional_move_points,6,10,-8,-5.5,164,80,40,18,26,98,0.59756098,14089.5,85.91158537
1,lookback_directional_move_points,7,10,-5.5,-2.5,164,72,42,26,24,90,0.54878049,3402,20.74390244
1,lookback_directional_move_points,8,10,-2.5,0.25,164,74,51,16,23,89,0.54268293,-1910.5,-11.64939024
1,lookback_directional_move_points,9,10,0.5,4.75,164,68,47,28,21,83,0.50609756,-4660.5,-28.41768293
1,lookback_directional_move_points,10,10,5,51.75,164,76,55,24,9,79,0.48170732,-9735.5,-59.36280488
1,lookback_efficiency_ratio,1,10,0,0.04081633,163,71,53,21,18,82,0.50306748,-8491,-52.09202454
1,lookback_efficiency_ratio,2,10,0.04109589,0.08163265,164,67,46,35,16,80,0.48780488,-5898,-35.96341463
1,lookback_efficiency_ratio,3,10,0.08176101,0.12121212,164,92,45,19,8,98,0.59756098,15702,95.74390244
1,lookback_efficiency_ratio,4,10,0.12142857,0.16167665,164,80,58,16,10,88,0.53658537,-5710.5,-34.82012195
1,lookback_efficiency_ratio,5,10,0.16176471,0.20224719,164,88,45,15,16,100,0.6097561,13639.5,83.16768293
1,lookback_efficiency_ratio,6,10,0.20253165,0.25070423,164,81,38,26,19,96,0.58536585,14777,90.10365854
1,lookback_efficiency_ratio,7,10,0.25095057,0.31111111,164,76,59,15,14,84,0.51219512,-10385.5,-63.32621951
1,lookback_efficiency_ratio,8,10,0.3125,0.37947494,164,80,39,28,17,87,0.5304878,8289.5,50.54573171
1,lookback_efficiency_ratio,9,10,0.37962963,0.49152542,164,82,49,24,9,87,0.5304878,2202,13.42682927
1,lookback_efficiency_ratio,10,10,0.49367089,0.96713615,164,79,57,16,12,89,0.54268293,-4773,-29.10365854
1,lookback_choppiness_score,1,10,0.03286385,0.50596659,163,79,57,16,11,88,0.5398773,-5216,-32
1,lookback_choppiness_score,2,10,0.50632911,0.62025316,164,81,49,24,10,87,0.5304878,1927,11.75
1,lookback_choppiness_score,3,10,0.62037037,0.6875,164,80,39,28,17,87,0.5304878,8289.5,50.54573171
1,lookback_choppiness_score,4,10,0.6875,0.74897119,164,77,58,15,14,85,0.51829268,-8635.5,-52.6554878
1,lookback_choppiness_score,5,10,0.74904943,0.7961165,164,80,39,26,19,95,0.57926829,13027,79.43292683
1,lookback_choppiness_score,6,10,0.79746835,0.83783784,164,89,45,15,15,100,0.6097561,14164.5,86.36890244
1,lookback_choppiness_score,7,10,0.83823529,0.87845304,164,79,58,16,11,88,0.53658537,-6235.5,-38.02134146
1,lookback_choppiness_score,8,10,0.87857143,0.91818182,164,93,45,18,8,99,0.60365854,16702,101.84146341
1,lookback_choppiness_score,9,10,0.91823899,0.95876289,164,67,46,35,16,80,0.48780488,-5898,-35.96341463
1,lookback_choppiness_score,10,10,0.95890411,1,164,71,53,22,18,82,0.5,-8773,-53.49390244
1,session_range_points,1,10,9.75,25.5,163,57,63,25,18,73,0.44785276,-26653.5,-163.51840491
1,session_range_points,2,10,25.5,31.75,164,80,46,15,23,93,0.56707317,6689.5,40.78963415
1,session_range_points,3,10,31.75,38,164,76,54,18,16,82,0.5,-7748,-47.24390244
1,session_range_points,4,10,38,43.5,164,80,43,28,13,91,0.55487805,7152,43.6097561
1,session_range_points,5,10,43.5,48,164,86,42,18,18,102,0.62195122,16814.5,102.52743902
1,session_range_points,6,10,48,57,164,86,43,19,16,98,0.59756098,13677,83.39634146
1,session_range_points,7,10,57.5,68,164,72,49,29,14,82,0.5,-5998,-36.57317073
1,session_range_points,8,10,68,77.5,164,94,42,20,8,97,0.59146341,17827,108.70121951
1,session_range_points,9,10,77.75,95.25,164,84,46,23,11,91,0.55487805,7877,48.0304878
1,session_range_points,10,10,95.25,243.75,164,81,61,20,2,82,0.5,-10285.5,-62.71646341
1,entry_volume_to_session_average_volume,1,10,0.13201021,0.40784441,163,66,49,26,22,81,0.49693252,-7516,-46.11042945
1,entry_volume_to_session_average_volume,2,10,0.40787382,0.47041453,164,81,47,19,17,90,0.54878049,3764.5,22.95426829
1,entry_volume_to_session_average_volume,3,10,0.47042989,0.53296877,164,81,49,21,13,88,0.53658537,2027,12.3597561
1,entry_volume_to_session_average_volume,4,10,0.5332096,0.58921557,164,80,39,32,13,90,0.54878049,9452,57.63414634
1,entry_volume_to_session_average_volume,5,10,0.58932582,0.64551332,164,88,44,17,15,100,0.6097561,15539.5,94.75304878
1,entry_volume_to_session_average_volume,6,10,0.64561297,0.71194224,164,83,47,22,12,92,0.56097561,6402,39.03658537
1,entry_volume_to_session_average_volume,7,10,0.71222858,0.79173241,164,81,50,19,14,90,0.54878049,1852,11.29268293
1,entry_volume_to_session_average_volume,8,10,0.79198938,0.92717944,164,70,60,20,14,79,0.48170732,-15785.5,-96.25304878
1,entry_volume_to_session_average_volume,9,10,0.9293421,1.14758184,164,79,52,24,9,87,0.5304878,-2460.5,-15.00304878
1,entry_volume_to_session_average_volume,10,10,1.14814985,5.29073263,164,87,52,15,10,94,0.57317073,6077,37.05487805
1,entry_trades_to_session_average_trades,1,10,0.14025966,0.40784082,163,66,48,23,26,84,0.51533742,-4853.5,-29.77607362
1,entry_trades_to_session_average_trades,2,10,0.40903978,0.46754167,164,81,46,20,17,90,0.54878049,4664.5,28.44207317
1,entry_trades_to_session_average_trades,3,10,0.46755847,0.53206612,164,81,45,21,17,92,0.56097561,7114.5,43.38109756
1,entry_trades_to_session_average_trades,4,10,0.53277834,0.57901654,164,79,46,30,9,84,0.51219512,714.5,4.35670732
1,entry_trades_to_session_average_trades,5,10,0.5791395,0.63909112,164,84,42,22,16,97,0.59146341,12477,76.07926829
1,entry_trades_to_session_average_trades,6,10,0.63995311,0.70133949,164,85,47,20,12,94,0.57317073,8664.5,52.83231707
1,entry_trades_to_session_average_trades,7,10,0.70177394,0.77886548,164,75,55,21,13,85,0.51829268,-7310.5,-44.57621951
