schema_version,diagnostic_id,outcome_id,signal_id,symbol,direction,entry_time,exit_time,entry_bar_index,exit_bar_index,entry_price,stop_price,target_price,exit_reason,scanned_bars,risk_points,target_distance_points,max_favorable_points,max_favorable_r,max_adverse_points,max_adverse_r,first_target_bar_index,first_target_time,first_stop_bar_index,first_stop_time,bars_to_max_favorable,bars_to_max_adverse,diagnostic_label,notes
1,liquidity_sweep_absorption_reversal_ESU26-CME_43047:end_of_session:43048:path,liquidity_sweep_absorption_reversal_ESU26-CME_43047:end_of_session:43048,liquidity_sweep_absorption_reversal_ESU26-CME_43047,ESU26-CME,long,2026-06-19  12:59:58,2026-6-19 12:59:58.675002,43047,43048,7556.75,7553.75,7559.75,end_of_session,1,3,3,0.5,0.16666667,0.5,0.16666667,,,,,1,1,neither_stop_nor_target_reached,path diagnostic from first bar after entry through evaluated exit
1,liquidity_sweep_absorption_reversal_ESU26-CME_32973:stop_hit:33027:path,liquidity_sweep_absorption_reversal_ESU26-CME_32973:stop_hit:33027,liquidity_sweep_absorption_reversal_ESU26-CME_32973,ESU26-CME,long,2026-06-17  10:42:28,2026-6-17 10:47:14.417000,32973,33027,7581.25,7579.25,7590.5,stop_hit,54,2,9.25,7.5,3.75,2.25,1.125,,,33027,2026-6-17 10:47:14.417000,36,54,stop_reached_target_not_reached,path diagnostic from first bar after entry through evaluated exit
