schema_version,candidate_id,signal_id,symbol,direction,entry_time,exit_time,exit_reason,first_target_hit,net_usd,exit_first_target_points,exit_stop_points,exit_runner_target_points,exit_runner_stop_mode,lookback_directional_move_points,session_range_points,risk_to_average_bar_range,minutes_after_rth_open,entry_trades_to_session_average_trades,average_bar_range_points,entry_bar_delta
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-18_6297_short_8,ESU26-CME,short,2025-11-18 13:51:00.000000,2025-11-18 13:57:00.000000,runner_target_hit,true,868,6,10,12,initial,-10.25,93.5,1.03896104,261,0.50981756,9.625,188
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-19_6351_short_0,ESU26-CME,short,2025-11-19 09:48:00.000000,2025-11-19 09:51:00.000000,full_stop_hit,false,-1032,6,10,12,initial,-30,37.25,0.94117647,18,0.90264383,10.625,3647
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-19_6357_short_1,ESU26-CME,short,2025-11-19 10:06:00.000000,2025-11-19 10:15:00.000000,full_stop_hit,false,-1032,6,10,12,initial,-58.25,64.25,1.03448276,36,0.84925556,9.66666667,417
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-19_6363_short_2,ESU26-CME,short,2025-11-19 10:24:00.000000,2025-11-19 10:45:00.000000,runner_target_hit,true,868,6,10,12,initial,-58.75,73.25,1.13385827,54,0.89755218,8.81944444,67
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-19_6377_long_3,ESU26-CME,long,2025-11-19 11:06:00.000000,2025-11-19 11:24:00.000000,full_stop_hit,false,-1032,6,10,12,initial,-35.25,73.25,1.3864818,96,1.13464117,7.2125,-202
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-19_6393_long_4,ESU26-CME,long,2025-11-19 11:54:00.000000,2025-11-19 12:03:00.000000,runner_initial_stop_hit,true,-232,6,10,12,initial,-13.25,73.25,1.24804992,144,0.69589211,8.0125,-130
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-19_6398_long_5,ESU26-CME,long,2025-11-19 12:09:00.000000,2025-11-19 12:33:00.000000,full_stop_hit,false,-1032,6,10,12,initial,-12.75,73.25,1.14942529,159,0.57183559,8.7,-69
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-19_6415_long_6,ESU26-CME,long,2025-11-19 13:00:00.000000,2025-11-19 13:30:00.000000,runner_initial_stop_hit,true,-232,6,10,12,initial,-5.5,87,1.00755668,210,0.56122296,9.925,-21
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-19_6446_long_10,ESU26-CME,long,2025-11-19 14:33:00.000000,2025-11-19 14:54:00.000000,runner_target_hit,true,868,6,10,12,initial,-21.5,87,1.15440115,303,0.57887107,8.6625,-296
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-19_6463_short_12,ESU26-CME,short,2025-11-19 15:24:00.000000,2025-11-19 15:36:00.000000,full_stop_hit,false,-1032,6,10,12,initial,-35,87,1.2539185,354,0.93642079,7.975,60
