schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,minimum_zone_aggression_ratio,minimum_zone_volume,input_trades,evaluated_trades,target_hits,losses,other_exits,win_rate,net_usd,average_net_usd,long_trades,short_trades,notes
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1:min_zone_volume=50,liquidity_sweep_vap_absorption_reversal,long,1,50,20,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_vap_absorption_threshold:direction=short:min_zone_ratio=1:min_zone_volume=50,liquidity_sweep_vap_absorption_reversal,short,1,50,20,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=1:min_zone_volume=100,liquidity_sweep_vap_absorption_reversal,all,1,100,20,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1:min_zone_volume=100,liquidity_sweep_vap_absorption_reversal,long,1,100,20,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_vap_absorption_threshold:direction=short:min_zone_ratio=1:min_zone_volume=100,liquidity_sweep_vap_absorption_reversal,short,1,100,20,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=1:min_zone_volume=150,liquidity_sweep_vap_absorption_reversal,all,1,150,20,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1:min_zone_volume=150,liquidity_sweep_vap_absorption_reversal,long,1,150,20,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_vap_absorption_threshold:direction=short:min_zone_ratio=1:min_zone_volume=150,liquidity_sweep_vap_absorption_reversal,short,1,150,20,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=1:min_zone_volume=200,liquidity_sweep_vap_absorption_reversal,all,1,200,20,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1:min_zone_volume=200,liquidity_sweep_vap_absorption_reversal,long,1,200,20,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
