schema_version,audit_id,split_id,sample,trade_dates,selected_context_experiment_id,outcome_id,signal_id,symbol,direction,entry_time,entry_bar_index,exit_reason,net_usd,minutes_after_rth_open,directional_open_distance_points,directional_opening_range_breakout_points,continuation_edge_score,opening_range_continuation_edge_score,lookback_directional_move_points,lookback_efficiency_ratio,lookback_choppiness_score,signal_abs_delta_sum_to_average_abs_delta,entry_volume_to_average_volume,entry_trades_to_average_trades,entry_volume_to_session_average_volume,lookback_volume_to_session_average_volume,risk_to_average_bar_range,runner_target_to_average_bar_range,notes
1,scaled_context_filter_walk_forward_window=53:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7730:runner_target_hit:7740,scaled_context_filter_walk_forward_window=53:train_dates=8:holdout_dates=2,train,2026-01-16;2026-01-19;2026-01-20;2026-01-21;2026-01-22;2026-01-23;2026-01-26;2026-01-27,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=long:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7730:runner_target_hit:7740,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7730,ESU26-CME,long,2026-01-27  10:15:00,7730,runner_target_hit,593,45,10.5,-3,0.84615385,0.84615385,11,0.2972973,0.7027027,3.33149669,0.6506578,0.63897247,0.6651813,1.02232125,2.06896552,1.65517241,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=53:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7736:runner_target_hit:7740,scaled_context_filter_walk_forward_window=53:train_dates=8:holdout_dates=2,train,2026-01-16;2026-01-19;2026-01-20;2026-01-21;2026-01-22;2026-01-23;2026-01-26;2026-01-27,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=long:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7736:runner_target_hit:7740,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7736,ESU26-CME,long,2026-01-27  10:33:00,7736,runner_target_hit,593,63,12,-1.5,0.92307692,0.92307692,12.25,0.24378109,0.75621891,4.5994013,0.72563809,0.72484587,0.68730748,0.94717668,2.23463687,1.7877095,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=53:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7741:runner_initial_stop_hit:7785,scaled_context_filter_walk_forward_window=53:train_dates=8:holdout_dates=2,train,2026-01-16;2026-01-19;2026-01-20;2026-01-21;2026-01-22;2026-01-23;2026-01-26;2026-01-27,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=long:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7741:runner_initial_stop_hit:7785,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7741,ESU26-CME,long,2026-01-27  10:48:00,7741,runner_initial_stop_hit,-307,78,18.25,4.75,0.91509434,1.24358974,12,0.27272727,0.72727273,5.06944444,0.80102716,0.76435252,0.73209369,0.91394366,2.39520958,1.91616766,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=53:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7746:full_stop_hit:7785,scaled_context_filter_walk_forward_window=53:train_dates=8:holdout_dates=2,train,2026-01-16;2026-01-19;2026-01-20;2026-01-21;2026-01-22;2026-01-23;2026-01-26;2026-01-27,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=long:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7746:full_stop_hit:7785,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7746,ESU26-CME,long,2026-01-27  11:03:00,7746,full_stop_hit,-1057,93,20.25,6.75,0.98130841,1.34615385,16.25,0.51181102,0.48818898,7.00344218,0.64185979,0.64349351,0.5361646,0.83532979,2.77777778,2.22222222,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=53:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7751:full_stop_hit:7770,scaled_context_filter_walk_forward_window=53:train_dates=8:holdout_dates=2,train,2026-01-16;2026-01-19;2026-01-20;2026-01-21;2026-01-22;2026-01-23;2026-01-26;2026-01-27,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=long:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7751:full_stop_hit:7770,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7751,ESU26-CME,long,2026-01-27  11:18:00,7751,full_stop_hit,-1057,108,23.25,9.75,0.98319328,1.5,10.75,0.40186916,0.59813084,2.67095338,1.10102419,1.01183458,0.8135065,0.73886342,3.44827586,2.75862069,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=55:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7057:runner_target_hit:7060,scaled_context_filter_walk_forward_window=55:train_dates=8:holdout_dates=2,train,2026-01-20;2026-01-21;2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28;2026-01-29,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7057:runner_target_hit:7060,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7057,ESU26-CME,long,2026-01-20  10:21:00,7057,runner_target_hit,593,51,17.75,-0.75,0.96938776,0.96103896,17,0.15962441,0.84037559,6.44033222,1.10888406,1.09438103,1.10221662,0.99398726,0.98124098,0.78499278,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=55:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7062:runner_initial_stop_hit:7067,scaled_context_filter_walk_forward_window=55:train_dates=8:holdout_dates=2,train,2026-01-20;2026-01-21;2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28;2026-01-29,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7062:runner_initial_stop_hit:7067,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7062,ESU26-CME,long,2026-01-20  10:36:00,7062,runner_initial_stop_hit,-307,66,27.75,9.25,0.89403974,1.48051948,15.25,0.14420804,0.85579196,5.66649378,0.66361912,0.64671692,0.62016577,0.93452065,1.04166667,0.83333333,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=55:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7081:full_stop_hit:7084,scaled_context_filter_walk_forward_window=55:train_dates=8:holdout_dates=2,train,2026-01-20;2026-01-21;2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28;2026-01-29,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7081:full_stop_hit:7084,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7081,ESU26-CME,long,2026-01-20  11:33:00,7081,full_stop_hit,-1057,123,25.25,6.75,0.80128205,1.35064935,-2.25,0.03135889,0.96864111,2.9437334,0.74231168,0.75796831,0.54108723,0.72892189,1.48148148,1.18518519,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=55:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7088:runner_initial_stop_hit:7097,scaled_context_filter_walk_forward_window=55:train_dates=8:holdout_dates=2,train,2026-01-20;2026-01-21;2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28;2026-01-29,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7088:runner_initial_stop_hit:7097,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7088,ESU26-CME,long,2026-01-20  11:54:00,7088,runner_initial_stop_hit,-307,144,19,0.5,0.64102564,1.02597403,3,0.03061224,0.96938776,5.3708495,1.04636615,1.06487269,0.74778964,0.71465389,1.34228188,1.0738255,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=55:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7099:runner_target_hit:7100,scaled_context_filter_walk_forward_window=55:train_dates=8:holdout_dates=2,train,2026-01-20;2026-01-21;2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28;2026-01-29,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7099:runner_target_hit:7100,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_7099,ESU26-CME,short,2026-01-20  12:27:00,7099,runner_target_hit,593,177,-9.25,-10,0.60897436,0.48051948,14.5,0.2265625,0.7734375,0.44266489,0.84266859,0.82922516,0.59906789,0.71091755,1.46788991,1.17431193,trade selected by context-filter walk-forward row
