schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,max_original_reward_risk,min_minutes_after_rth_open,max_minutes_after_rth_open,max_session_range_points,max_fade_edge_score,max_vwap_stretch_points,max_open_stretch_points,input_regime_rows,accepted_trades,skipped_trades,target_hits,losses,other_exits,skipped_target_hits,skipped_losses,skipped_other_exits,win_rate,net_usd,skipped_net_usd,total_net_usd,long_trades,short_trades,skipped_long_trades,skipped_short_trades,notes
1,auction_regime_train_dates=8_holdout_dates=7,train,true,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,signal_auction_regime_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=3.5:minutes=0-390:max_session_range=50:max_fade_edge=1:max_vwap_stretch=10:max_open_stretch=20,liquidity_sweep_absorption_reversal,all,3.5,0,390,50,1,10,20,12,9,3,7,2,0,0,3,0,0.77777778,2018.5,-735.5,1283,5,4,2,1,accepted/skipped report for selected auction-regime guard rule
1,auction_regime_train_dates=8_holdout_dates=7,holdout,true,2026-06-04;2026-06-08;2026-06-10;2026-06-11;2026-06-12;2026-06-17;2026-06-19,signal_auction_regime_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=3.5:minutes=0-390:max_session_range=50:max_fade_edge=1:max_vwap_stretch=10:max_open_stretch=20,liquidity_sweep_absorption_reversal,all,3.5,0,390,50,1,10,20,11,2,9,0,2,0,0,9,0,0,-282,-1881.5,-2163.5,1,1,4,5,accepted/skipped report for selected auction-regime guard rule
