schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,minimum_reward_risk,input_trades,evaluated_trades,target_hits,losses,other_exits,win_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_absorption_reward_risk:direction=short:min_reward_risk=1.25,liquidity_sweep_absorption_reversal,short,1.25,20,4,1,3,0,0.25,-112.5,-226.5,-56.625,0,4,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=1.5,liquidity_sweep_absorption_reversal,all,1.5,20,4,2,2,0,0.5,325,211,52.75,1,3,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_absorption_reward_risk:direction=long:min_reward_risk=1.5,liquidity_sweep_absorption_reversal,long,1.5,20,1,1,0,0,1,325,296.5,296.5,1,0,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_absorption_reward_risk:direction=short:min_reward_risk=1.5,liquidity_sweep_absorption_reversal,short,1.5,20,3,1,2,0,0.33333333,0,-85.5,-28.5,0,3,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,train,true,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=2,liquidity_sweep_absorption_reversal,all,2,20,2,2,0,0,1,637.5,580.5,290.25,1,1,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_absorption_reward_risk:direction=long:min_reward_risk=2,liquidity_sweep_absorption_reversal,long,2,20,1,1,0,0,1,325,296.5,296.5,1,0,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_absorption_reward_risk:direction=short:min_reward_risk=2,liquidity_sweep_absorption_reversal,short,2,20,1,1,0,0,1,312.5,284,284,0,1,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,holdout,false,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=0,liquidity_sweep_absorption_reversal,all,0,10,10,4,6,0,0.4,293.75,8.75,0.875,5,5,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,holdout,false,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,liquidity_sweep_absorption_reward_risk:direction=long:min_reward_risk=0,liquidity_sweep_absorption_reversal,long,0,10,5,1,4,0,0.2,-125,-267.5,-53.5,5,0,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,holdout,false,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,liquidity_sweep_absorption_reward_risk:direction=short:min_reward_risk=0,liquidity_sweep_absorption_reversal,short,0,10,5,3,2,0,0.6,418.75,276.25,55.25,0,5,post-signal reward/risk filter over absorption outcomes
