schema_version,experiment_id,strategy_id,direction_filter,target_r_multiple,stop_buffer_points,minimum_opening_range_width_points,signal_rows,candidate_signals,rejected_signals,evaluated_trades,target_hits,losses,other_exits,win_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,price_only_vwap_opening_range_reclaim:direction=long:target_r=2:stop_buffer=1:min_or_width=1,price_only_vwap_opening_range_reclaim,long,2,1,1,3030,47,2983,11,4,6,1,0.36363636,975,661.5,60.13636364,11,0,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=short:target_r=2:stop_buffer=1:min_or_width=1,price_only_vwap_opening_range_reclaim,short,2,1,1,3030,47,2983,36,5,23,8,0.13888889,-18237.5,-19263.5,-535.09722222,0,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=all:target_r=2.5:stop_buffer=0:min_or_width=1,price_only_vwap_opening_range_reclaim,all,2.5,0,1,3030,47,2983,47,7,31,9,0.14893617,-16687.5,-18027,-383.55319149,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=long:target_r=2.5:stop_buffer=0:min_or_width=1,price_only_vwap_opening_range_reclaim,long,2.5,0,1,3030,47,2983,11,3,7,1,0.27272727,887.5,574,52.18181818,11,0,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=short:target_r=2.5:stop_buffer=0:min_or_width=1,price_only_vwap_opening_range_reclaim,short,2.5,0,1,3030,47,2983,36,4,24,8,0.11111111,-17575,-18601,-516.69444444,0,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=all:target_r=2.5:stop_buffer=0.25:min_or_width=1,price_only_vwap_opening_range_reclaim,all,2.5,0.25,1,3030,47,2983,47,7,31,9,0.14893617,-16856.25,-18195.75,-387.14361702,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=long:target_r=2.5:stop_buffer=0.25:min_or_width=1,price_only_vwap_opening_range_reclaim,long,2.5,0.25,1,3030,47,2983,11,3,7,1,0.27272727,893.75,580.25,52.75,11,0,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=short:target_r=2.5:stop_buffer=0.25:min_or_width=1,price_only_vwap_opening_range_reclaim,short,2.5,0.25,1,3030,47,2983,36,4,24,8,0.11111111,-17750,-18776,-521.55555556,0,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=all:target_r=2.5:stop_buffer=0.5:min_or_width=1,price_only_vwap_opening_range_reclaim,all,2.5,0.5,1,3030,47,2983,47,7,31,9,0.14893617,-17025,-18364.5,-390.73404255,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=long:target_r=2.5:stop_buffer=0.5:min_or_width=1,price_only_vwap_opening_range_reclaim,long,2.5,0.5,1,3030,47,2983,11,3,7,1,0.27272727,900,586.5,53.31818182,11,0,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=short:target_r=2.5:stop_buffer=0.5:min_or_width=1,price_only_vwap_opening_range_reclaim,short,2.5,0.5,1,3030,47,2983,36,4,24,8,0.11111111,-17925,-18951,-526.41666667,0,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=all:target_r=2.5:stop_buffer=1:min_or_width=1,price_only_vwap_opening_range_reclaim,all,2.5,1,1,3030,47,2983,47,8,30,9,0.17021277,-16837.5,-18177,-386.74468085,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=long:target_r=2.5:stop_buffer=1:min_or_width=1,price_only_vwap_opening_range_reclaim,long,2.5,1,1,3030,47,2983,11,4,6,1,0.36363636,1481.25,1167.75,106.15909091,11,0,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=short:target_r=2.5:stop_buffer=1:min_or_width=1,price_only_vwap_opening_range_reclaim,short,2.5,1,1,3030,47,2983,36,4,24,8,0.11111111,-18318.75,-19344.75,-537.35416667,0,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=all:target_r=3:stop_buffer=0:min_or_width=1,price_only_vwap_opening_range_reclaim,all,3,0,1,3030,47,2983,47,7,31,9,0.14893617,-16025,-17364.5,-369.45744681,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=long:target_r=3:stop_buffer=0:min_or_width=1,price_only_vwap_opening_range_reclaim,long,3,0,1,3030,47,2983,11,3,7,1,0.27272727,1237.5,924,84,11,0,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=short:target_r=3:stop_buffer=0:min_or_width=1,price_only_vwap_opening_range_reclaim,short,3,0,1,3030,47,2983,36,4,24,8,0.11111111,-17262.5,-18288.5,-508.01388889,0,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=all:target_r=3:stop_buffer=0.25:min_or_width=1,price_only_vwap_opening_range_reclaim,all,3,0.25,1,3030,47,2983,47,7,31,9,0.14893617,-16150,-17489.5,-372.11702128,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=long:target_r=3:stop_buffer=0.25:min_or_width=1,price_only_vwap_opening_range_reclaim,long,3,0.25,1,3030,47,2983,11,3,7,1,0.27272727,1262.5,949,86.27272727,11,0,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=short:target_r=3:stop_buffer=0.25:min_or_width=1,price_only_vwap_opening_range_reclaim,short,3,0.25,1,3030,47,2983,36,4,24,8,0.11111111,-17412.5,-18438.5,-512.18055556,0,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=all:target_r=3:stop_buffer=0.5:min_or_width=1,price_only_vwap_opening_range_reclaim,all,3,0.5,1,3030,47,2983,47,6,32,9,0.12765957,-16825,-18164.5,-386.4787234,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=long:target_r=3:stop_buffer=0.5:min_or_width=1,price_only_vwap_opening_range_reclaim,long,3,0.5,1,3030,47,2983,11,3,7,1,0.27272727,1287.5,974,88.54545455,11,0,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=short:target_r=3:stop_buffer=0.5:min_or_width=1,price_only_vwap_opening_range_reclaim,short,3,0.5,1,3030,47,2983,36,3,25,8,0.08333333,-18112.5,-19138.5,-531.625,0,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=all:target_r=3:stop_buffer=1:min_or_width=1,price_only_vwap_opening_range_reclaim,all,3,1,1,3030,47,2983,47,7,31,9,0.14893617,-16575,-17914.5,-381.15957447,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=long:target_r=3:stop_buffer=1:min_or_width=1,price_only_vwap_opening_range_reclaim,long,3,1,1,3030,47,2983,11,3,7,1,0.27272727,1337.5,1024,93.09090909,11,0,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:direction=short:target_r=3:stop_buffer=1:min_or_width=1,price_only_vwap_opening_range_reclaim,short,3,1,1,3030,47,2983,36,4,24,8,0.11111111,-17912.5,-18938.5,-526.06944444,0,36,price-only parameter sweep aggregate
