schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,first_target_points,stop_points,runner_target_points,runner_stop_mode,input_signal_rows,input_candidates,evaluated_trades,full_stops,first_target_hits,runner_target_hits,runner_stop_exits,end_of_session_exits,other_exits,positive_net_trades,positive_net_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,train,true,2026-03-23;2026-03-25;2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01;2026-05-04;2026-05-05;2026-05-13;2026-05-14;2026-05-15;2026-05-18;2026-05-20;2026-05-21;2026-05-22;2026-05-26;2026-05-27;2026-05-28,signal_scaled_scalp:strategy=delta_impulse_continue_10bar_2.5pt_50d_inverted_fade:direction=all:first_target_points=5:stop_points=5:runner_target_points=10:runner_stop_mode=initial,delta_impulse_continue_10bar_2.5pt_50d_inverted_fade,all,5,5,10,initial,46,46,46,22,24,20,3,1,0,21,0.45652174,4487.5,1865.5,40.55434783,12,34,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2026-05-29;2026-06-01;2026-06-02;2026-06-03;2026-06-04,signal_scaled_scalp:strategy=delta_impulse_continue_10bar_2.5pt_50d_inverted_fade:direction=all:first_target_points=5:stop_points=5:runner_target_points=10:runner_stop_mode=initial,delta_impulse_continue_10bar_2.5pt_50d_inverted_fade,all,5,5,10,initial,21,21,21,7,14,11,3,0,0,11,0.52380952,4750,3553,169.19047619,6,15,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=6:train_dates=20:holdout_dates=5,train,true,2026-04-23;2026-04-24;2026-05-01;2026-05-04;2026-05-05;2026-05-13;2026-05-14;2026-05-15;2026-05-18;2026-05-20;2026-05-21;2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-01;2026-06-02;2026-06-03;2026-06-04,signal_scaled_scalp:strategy=delta_impulse_continue_10bar_2.5pt_50d_inverted_fade:direction=all:first_target_points=5:stop_points=5:runner_target_points=10:runner_stop_mode=initial,delta_impulse_continue_10bar_2.5pt_50d_inverted_fade,all,5,5,10,initial,57,57,57,24,33,27,5,1,0,28,0.49122807,8737.5,5488.5,96.28947368,14,43,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=6:train_dates=20:holdout_dates=5,holdout,true,2026-06-05;2026-06-08;2026-06-09;2026-06-10;2026-06-11,signal_scaled_scalp:strategy=delta_impulse_continue_10bar_2.5pt_50d_inverted_fade:direction=all:first_target_points=5:stop_points=5:runner_target_points=10:runner_stop_mode=initial,delta_impulse_continue_10bar_2.5pt_50d_inverted_fade,all,5,5,10,initial,30,30,30,19,11,10,1,0,0,10,0.33333333,-2000,-3710,-123.66666667,20,10,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=11:train_dates=20:holdout_dates=5,train,true,2026-05-13;2026-05-14;2026-05-15;2026-05-18;2026-05-20;2026-05-21;2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-01;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10;2026-06-11,signal_scaled_scalp:strategy=delta_impulse_continue_10bar_2.5pt_50d_inverted_fade:direction=short:first_target_points=4:stop_points=5:runner_target_points=15:runner_stop_mode=initial,delta_impulse_continue_10bar_2.5pt_50d_inverted_fade,short,4,5,15,initial,79,48,48,17,31,15,12,4,0,19,0.39583333,6750,4014,83.625,0,48,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=11:train_dates=20:holdout_dates=5,holdout,true,2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18,signal_scaled_scalp:strategy=delta_impulse_continue_10bar_2.5pt_50d_inverted_fade:direction=short:first_target_points=4:stop_points=5:runner_target_points=15:runner_stop_mode=initial,delta_impulse_continue_10bar_2.5pt_50d_inverted_fade,short,4,5,15,initial,30,19,19,9,10,4,6,0,0,4,0.21052632,-1000,-2083,-109.63157895,0,19,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=16:train_dates=20:holdout_dates=5,train,true,2026-05-21;2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-01;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10;2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18,signal_scaled_scalp:strategy=delta_impulse_continue_10bar_2.5pt_50d_inverted_fade:direction=all:first_target_points=4:stop_points=10:runner_target_points=15:runner_stop_mode=initial,delta_impulse_continue_10bar_2.5pt_50d_inverted_fade,all,4,10,15,initial,91,91,91,25,66,43,20,3,0,46,0.50549451,11012.5,5825.5,64.01648352,41,50,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=16:train_dates=20:holdout_dates=5,holdout,true,2026-06-19;2026-06-22;2026-06-23;2026-06-24;2026-06-25,signal_scaled_scalp:strategy=delta_impulse_continue_10bar_2.5pt_50d_inverted_fade:direction=all:first_target_points=4:stop_points=10:runner_target_points=15:runner_stop_mode=initial,delta_impulse_continue_10bar_2.5pt_50d_inverted_fade,all,4,10,15,initial,30,30,30,7,22,8,10,5,0,11,0.36666667,-562.5,-2272.5,-75.75,17,13,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
